Aggr started. input=D:\tree-KG\TreeKG-main\src\output\02_hidden_kg\conv_entities.json, output=D:\tree-KG\TreeKG-main\src\output\02_hidden_kg\aggr_entities.json, log=D:\tree-KG\TreeKG-main\src\output\02_hidden_kg\logs\aggr.log
===== [Stage 1] 角色判定（并发=10）=====
[role] 阴阳五行学说 -> core | ok=True attempts=1 fallback=False
[role] 前提 -> core | ok=True attempts=1 fallback=False
[role] 演绎推理 -> core | ok=True attempts=1 fallback=False
[role] 生长升发 -> non-core | ok=True attempts=1 fallback=False
[role] 木 -> core | ok=True attempts=1 fallback=False
[role] 推理形式 -> core | ok=True attempts=1 fallback=False
[role] 以表知里 -> core | ok=True attempts=1 fallback=False
[role] 条达舒畅 -> non-core | ok=True attempts=1 fallback=False
[role] 藏象学说 -> core | ok=True attempts=1 fallback=False
[role] 肝 -> core | ok=True attempts=1 fallback=False
[role] 象 -> core | ok=True attempts=1 fallback=False
[role] 有诸内必形诸外 -> core | ok=True attempts=1 fallback=False
[role] 藏 -> non-core | ok=True attempts=1 fallback=False
[role] 咯血 -> non-core | ok=True attempts=1 fallback=False
[role] 呼吸 -> core | ok=True attempts=1 fallback=False
[role] 咳嗽 -> core | ok=True attempts=1 fallback=False
[role] 观察与反馈循环 -> core | ok=True attempts=1 fallback=False
[role] 气喘 -> non-core | ok=True attempts=1 fallback=False
[role] 试探 -> core | ok=True attempts=1 fallback=False
[role] 小柴胡汤 -> non-core | ok=True attempts=1 fallback=False
[role] 肺 -> core | ok=True attempts=1 fallback=False
[role] 假设—验证—修正 -> core | ok=True attempts=1 fallback=False
[role] 小建中汤 -> core | ok=True attempts=1 fallback=False
[role] 反证 -> core | ok=True attempts=1 fallback=False
[role] 逆向思维方法 -> core | ok=True attempts=1 fallback=False
[role] 审证求因 -> core | ok=True attempts=1 fallback=False
[role] 湿邪 -> core | ok=True attempts=1 fallback=False
[role] 阳 -> core | ok=True attempts=1 fallback=False
[role] 阴阳 -> core | ok=True attempts=1 fallback=False
[role] 《说文解字》 -> core | ok=True attempts=1 fallback=False
[role] 阴 -> core | ok=True attempts=1 fallback=False
[role] 阴阳学说 -> core | ok=True attempts=1 fallback=False
[role] 对立统一规律 -> core | ok=True attempts=1 fallback=False
[role] 对立互根 -> core | ok=True attempts=1 fallback=False
[role] 《灵枢·阴阳系日月》 -> core | ok=True attempts=1 fallback=False
[role] 消长转化 -> core | ok=True attempts=1 fallback=False
[role] 《类经·阴阳类》 -> core | ok=True attempts=1 fallback=False
[role] 普遍性 -> core | ok=True attempts=1 fallback=False
[role] 相关性 -> core | ok=True attempts=1 fallback=False
[role] 一分为二 -> core | ok=True attempts=1 fallback=False
[role] 有名而无形 -> core | ok=True attempts=1 fallback=False
[role] 相对性 -> core | ok=True attempts=1 fallback=False
[role] 转化性 -> core | ok=True attempts=1 fallback=False
[role] 规定性 -> core | ok=True attempts=1 fallback=False
[role] 可分性 -> core | ok=True attempts=1 fallback=False
[role] 阴阳互藏 -> core | ok=True attempts=1 fallback=False
[role] 推动 -> non-core | ok=True attempts=1 fallback=False
[role] 寒 -> core | ok=True attempts=1 fallback=False
[role] 滋润 -> core | ok=True attempts=1 fallback=False
[role] 寒热证候 -> core | ok=True attempts=1 fallback=False
[role] 兴奋 -> core | ok=True attempts=1 fallback=False
[role] 温煦 -> core | ok=True attempts=1 fallback=False
[role] 阴阳的对立制约 -> core | ok=True attempts=1 fallback=False
[role] 热 -> core | ok=True attempts=1 fallback=False
[role] 凝聚 -> core | ok=True attempts=1 fallback=False
[role] 阳不胜其阴 -> non-core | ok=True attempts=1 fallback=False
[role] 抑制 -> core | ok=True attempts=1 fallback=False
[role] 阴胜则阳病 -> core | ok=True attempts=1 fallback=False
[role] 阳胜则阴病 -> core | ok=True attempts=1 fallback=False
[role] 热者寒之 -> core | ok=True attempts=1 fallback=False
[role] 寒者热之 -> core | ok=True attempts=1 fallback=False
[role] 高者抑之 -> non-core | ok=True attempts=1 fallback=False
[role] 阴不胜其阳 -> non-core | ok=True attempts=1 fallback=False
[role] 阴阳互根 -> core | ok=True attempts=1 fallback=False
[role] 阴阳互根互用关系 -> core | ok=True attempts=1 fallback=False
[role] 下 -> non-core | ok=True attempts=1 fallback=False
[role] 云雨形成 -> non-core | ok=True attempts=1 fallback=False
[role] 下者举之 -> core | ok=True attempts=1 fallback=False
[role] 地气上为云 -> non-core | ok=True attempts=1 fallback=False
[role] 天气下为雨 -> non-core | ok=True attempts=1 fallback=False
[role] 阴寒凝聚 -> non-core | ok=True attempts=1 fallback=False
[role] 阴阳互用 -> core | ok=True attempts=1 fallback=False
[role] 上 -> core | ok=True attempts=1 fallback=False
[role] 阳热蒸化 -> non-core | ok=True attempts=1 fallback=False
[role] 物质结构 -> core | ok=True attempts=1 fallback=False
[role] 上升 -> non-core | ok=True attempts=1 fallback=False
[role] 功能活动 -> core | ok=True attempts=1 fallback=False
[role] 阴阳相互消长 -> core | ok=True attempts=1 fallback=False
[role] 阳生阴长 -> non-core | ok=True attempts=1 fallback=False
[role] 阳杀阴藏 -> non-core | ok=True attempts=1 fallback=False
[role] 阴阳的消长平衡 -> core | ok=True attempts=1 fallback=False
[role] 素问 -> core | ok=True attempts=1 fallback=False
[role] 协调平衡 -> core | ok=True attempts=1 fallback=False
[role] 对立制约 -> core | ok=True attempts=1 fallback=False
[role] 此长彼消 -> core | ok=True attempts=1 fallback=False
[role] 热盛津亏 -> non-core | ok=True attempts=1 fallback=False
[role] 此长彼长 -> non-core | ok=True attempts=1 fallback=False
[role] 互根互用 -> core | ok=True attempts=1 fallback=False
[role] 阴虚火旺 -> core | ok=True attempts=1 fallback=False
[role] 阳长阴消 -> core | ok=True attempts=1 fallback=False
[role] 阳损及阴 -> core | ok=True attempts=1 fallback=False
[role] 此消彼消 -> non-core | ok=True attempts=1 fallback=False
[role] 补气生血 -> non-core | ok=True attempts=1 fallback=False
[role] 阴平阳秘 -> core | ok=True attempts=1 fallback=False
[role] 失调 -> non-core | ok=True attempts=1 fallback=False
[role] 下降 -> non-core | ok=True attempts=1 fallback=False
[role] 阴阳消长 -> core | ok=True attempts=1 fallback=False
[role] 阴阳的相互转化 -> core | ok=True attempts=1 fallback=False
[role] 此消彼长 -> core | ok=True attempts=1 fallback=False
[role] 重阴必阳 -> core | ok=True attempts=1 fallback=False
[role] 质变 -> core | ok=True attempts=1 fallback=False
[role] 重阳必阴 -> core | ok=True attempts=1 fallback=False
[role] 阳胜则热 -> non-core | ok=True attempts=1 fallback=False
[role] 量变 -> core | ok=True attempts=1 fallback=False
[role] 重 -> non-core | ok=True attempts=1 fallback=False
[role] 寒极生热 -> core | ok=True attempts=1 fallback=False
[role] 表里转化 -> core | ok=True attempts=1 fallback=False
[role] 甚 -> non-core | ok=True attempts=1 fallback=False
[role] 极 -> non-core | ok=True attempts=1 fallback=False
[role] 热极生寒 -> core | ok=True attempts=1 fallback=False
[role] 渐变 -> core | ok=True attempts=1 fallback=False
[role] 寒热转化 -> core | ok=True attempts=1 fallback=False
[role] 突变 -> core | ok=True attempts=1 fallback=False
[role] 有机整体 -> core | ok=True attempts=1 fallback=False
[role] 脏腑组织 -> core | ok=True attempts=1 fallback=False
[role] 人体 -> core | ok=True attempts=1 fallback=False
[role] 阴阳证候转化 -> core | ok=True attempts=1 fallback=False
[role] 虚实转化 -> core | ok=True attempts=1 fallback=False
[role] 阴阳对立统一观点 -> core | ok=True attempts=1 fallback=False
[role] 阴阳属性 -> core | ok=True attempts=1 fallback=False
[role] 上部 -> non-core | ok=True attempts=1 fallback=False
[role] 体表 -> non-core | ok=True attempts=1 fallback=False
[role] 四肢外侧 -> non-core | ok=True attempts=1 fallback=False
[role] 背部 -> non-core | ok=True attempts=1 fallback=False
[role] 胸腹部 -> non-core | ok=True attempts=1 fallback=False
[role] 四肢内侧 -> non-core | ok=True attempts=1 fallback=False
[role] 下部 -> non-core | ok=True attempts=1 fallback=False
[role] 传化物而不藏 -> non-core | ok=True attempts=1 fallback=False
[role] 六腑 -> core | ok=True attempts=1 fallback=False
[role] 体内 -> non-core | ok=True attempts=1 fallback=False
[role] 火 -> core | ok=True attempts=1 fallback=False
[role] 阳中之阳 -> non-core | ok=True attempts=1 fallback=False
[role] 化生贮藏精气而不泻 -> non-core | ok=True attempts=1 fallback=False
[role] 夏气 -> non-core | ok=True attempts=1 fallback=False
[role] 温通 -> non-core | ok=True attempts=1 fallback=False
[role] 膈上 -> non-core | ok=True attempts=1 fallback=False
[role] 金 -> core | ok=True attempts=1 fallback=False
[role] 肃降 -> core | ok=True attempts=1 fallback=False
[role] 秋气 -> non-core | ok=True attempts=1 fallback=False
[role] 阳中之阴 -> non-core | ok=True attempts=1 fallback=False
[role] 肾 -> core | ok=True attempts=1 fallback=False
[role] 阴中之阳 -> non-core | ok=True attempts=1 fallback=False
[role] 冬气 -> non-core | ok=True attempts=1 fallback=False
[role] 春气 -> non-core | ok=True attempts=1 fallback=False
[role] 升发 -> core | ok=True attempts=1 fallback=False
[role] 闭藏 -> non-core | ok=True attempts=1 fallback=False
[role] 膈下 -> non-core | ok=True attempts=1 fallback=False
[role] 水 -> core | ok=True attempts=1 fallback=False
[role] 脾 -> core | ok=True attempts=1 fallback=False
[role] 阴中之阴 -> non-core | ok=True attempts=1 fallback=False
[role] 中央 -> non-core | ok=True attempts=1 fallback=False
[role] 土 -> core | ok=True attempts=1 fallback=False
[role] 人体结构层次 -> core | ok=True attempts=1 fallback=False
[role] 阴中之至阴 -> non-core | ok=True attempts=1 fallback=False
[role] 营卫 -> core | ok=True attempts=1 fallback=False
[role] 长夏 -> core | ok=True attempts=1 fallback=False
[role] 阴阳的相对性与统一性 -> core | ok=True attempts=1 fallback=False
[role] 血 -> core | ok=True attempts=1 fallback=False
[role] 津液 -> core | ok=True attempts=1 fallback=False
[role] 气 -> core | ok=True attempts=1 fallback=False
[role] 睡眠活动 -> core | ok=True attempts=1 fallback=False
[role] 精 -> core | ok=True attempts=1 fallback=False
[role] 疾病 -> core | ok=True attempts=1 fallback=False
[role] 入睡 -> non-core | ok=True attempts=1 fallback=False
[role] 阴邪 -> core | ok=True attempts=1 fallback=False
[role] 脏腑 -> core | ok=True attempts=1 fallback=False
[role] 阳邪 -> core | ok=True attempts=1 fallback=False
[role] 阴精 -> non-core | ok=True attempts=1 fallback=False
[role] 病邪 -> core | ok=True attempts=1 fallback=False
[role] 正气 -> core | ok=True attempts=1 fallback=False
[role] 阴阳偏衰 -> core | ok=True attempts=1 fallback=False
[role] 醒寤 -> non-core | ok=True attempts=1 fallback=False
[role] 阳气 -> core | ok=True attempts=1 fallback=False
[role] 阴胜则寒 -> core | ok=True attempts=1 fallback=False
[role] 阴阳偏盛 -> core | ok=True attempts=1 fallback=False
[role] 阴阳互损 -> core | ok=True attempts=1 fallback=False
[role] 阴阳失调 -> core | ok=True attempts=1 fallback=False
[role] 阴虚则热 -> core | ok=True attempts=1 fallback=False
[role] 实证 -> core | ok=True attempts=1 fallback=False
[role] 阴损及阳 -> core | ok=True attempts=1 fallback=False
[role] 阴阳两虚 -> core | ok=True attempts=1 fallback=False
[role] 阴阳转化 -> core | ok=True attempts=1 fallback=False
[role] 阳虚则寒 -> core | ok=True attempts=1 fallback=False
[role] 阴证 -> core | ok=True attempts=1 fallback=False
[role] 色泽晦暗 -> non-core | ok=True attempts=1 fallback=False
[role] 阳证 -> core | ok=True attempts=1 fallback=False
[role] 虚证 -> core | ok=True attempts=1 fallback=False
[role] 阴阳两分法 -> core | ok=True attempts=1 fallback=False
[role] 肺热阳证 -> core | ok=True attempts=1 fallback=False
[role] 色泽鲜明 -> non-core | ok=True attempts=1 fallback=False
[role] 声音高亢多言 -> non-core | ok=True attempts=1 fallback=False
[role] 呼吸有力 -> non-core | ok=True attempts=1 fallback=False
[role] 声音低弱少言 -> non-core | ok=True attempts=1 fallback=False
[role] 呼吸微弱 -> non-core | ok=True attempts=1 fallback=False
[role] 肺寒阴证 -> core | ok=True attempts=1 fallback=False
[role] 数脉 -> core | ok=True attempts=1 fallback=False
[role] 尺脉 -> non-core | ok=True attempts=1 fallback=False
[role] 迟脉 -> core | ok=True attempts=1 fallback=False
[role] 寸脉 -> non-core | ok=True attempts=1 fallback=False
[role] 浮大洪滑 -> non-core | ok=True attempts=1 fallback=False
[role] 虚脉 -> non-core | ok=True attempts=1 fallback=False
[role] 实脉 -> non-core | ok=True attempts=1 fallback=False
[role] 张景岳 -> non-core | ok=True attempts=1 fallback=False
[role] 表证 -> core | ok=True attempts=1 fallback=False
[role] 里证 -> core | ok=True attempts=1 fallback=False
[role] 沉小细涩 -> non-core | ok=True attempts=1 fallback=False
[role] 热证 -> core | ok=True attempts=1 fallback=False
[role] 法于阴阳 -> core | ok=True attempts=1 fallback=False
[role] 审察阴阳 -> core | ok=True attempts=1 fallback=False
[role] 春夏养阳 -> core | ok=True attempts=1 fallback=False
[role] 秋冬养阴 -> core | ok=True attempts=1 fallback=False
[role] 寒证 -> core | ok=True attempts=1 fallback=False
[role] 谨察阴阳所在而调之，以平为期 -> core | ok=True attempts=1 fallback=False
[role] 损其有余 -> core | ok=True attempts=1 fallback=False
[role] 补其不足 -> core | ok=True attempts=1 fallback=False
[role] 医道纲领 -> core | ok=True attempts=1 fallback=False
[role] 阴病治阳 -> core | ok=True attempts=1 fallback=False
[role] 扶阳抑阴 -> core | ok=True attempts=1 fallback=False
[role] 滋阴制阳 -> core | ok=True attempts=1 fallback=False
[role] 阴中求阳 -> core | ok=True attempts=1 fallback=False
[role] 阴阳双补 -> core | ok=True attempts=1 fallback=False
[role] 阳病治阴 -> core | ok=True attempts=1 fallback=False
[role] 阳中求阴 -> core | ok=True attempts=1 fallback=False
[role] 凉 -> non-core | ok=True attempts=1 fallback=False
[role] 温 -> core | ok=True attempts=1 fallback=False
[role] 四气 -> core | ok=True attempts=1 fallback=False
[role] 辛 -> non-core | ok=True attempts=1 fallback=False
[role] 五味 -> core | ok=True attempts=1 fallback=False
[role] 升 -> non-core | ok=True attempts=1 fallback=False
[role] 甘 -> non-core | ok=True attempts=1 fallback=False
[role] 酸 -> core | ok=True attempts=1 fallback=False
[role] 苦 -> non-core | ok=True attempts=1 fallback=False
[role] 升降浮沉 -> core | ok=True attempts=1 fallback=False
[role] 咸 -> non-core | ok=True attempts=1 fallback=False
[role] 浮 -> non-core | ok=True attempts=1 fallback=False
[role] 降 -> non-core | ok=True attempts=1 fallback=False
[role] 淡 -> non-core | ok=True attempts=1 fallback=False
[role] 五行 -> core | ok=True attempts=1 fallback=False
[role] 涩 -> non-core | ok=True attempts=1 fallback=False
[role] 沉 -> non-core | ok=True attempts=1 fallback=False
[role] 五方 -> core | ok=True attempts=1 fallback=False
[role] 资生 -> core | ok=True attempts=1 fallback=False
[role] 五材 -> core | ok=True attempts=1 fallback=False
[role] 制约 -> non-core | ok=True attempts=1 fallback=False
[role] 水曰润下 -> core | ok=True attempts=1 fallback=False
[role] 五行学说 -> core | ok=True attempts=1 fallback=False
[role] 金曰从革 -> core | ok=True attempts=1 fallback=False
[role] 火曰炎上 -> core | ok=True attempts=1 fallback=False
[role] 木曰曲直 -> core | ok=True attempts=1 fallback=False
[role] 土爰稼穑 -> core | ok=True attempts=1 fallback=False
[role] 《尚书·洪范》 -> core | ok=True attempts=1 fallback=False
[role] 生长 -> core | ok=True attempts=1 fallback=False
[role] 明亮 -> core | ok=True attempts=1 fallback=False
[role] 长养 -> core | ok=True attempts=1 fallback=False
[role] 承载 -> core | ok=True attempts=1 fallback=False
[role] 升散 -> core | ok=True attempts=1 fallback=False
[role] 生化 -> core | ok=True attempts=1 fallback=False
[role] 炎热 -> core | ok=True attempts=1 fallback=False
[role] 收敛 -> core | ok=True attempts=1 fallback=False
[role] 肃杀 -> non-core | ok=True attempts=1 fallback=False
[role] 沉降 -> core | ok=True attempts=1 fallback=False
[role] 取象比类 -> core | ok=True attempts=1 fallback=False
[role] 伸展 -> core | ok=True attempts=1 fallback=False
[role] 五腑 -> core | ok=True attempts=1 fallback=False
[role] 胆 -> core | ok=True attempts=1 fallback=False
[role] 五体 -> core | ok=True attempts=1 fallback=False
[role] 目 -> core | ok=True attempts=1 fallback=False
[role] 筋 -> non-core | ok=True attempts=1 fallback=False
[role] 怒 -> core | ok=True attempts=1 fallback=False
[role] 五行分类 -> core | ok=True attempts=1 fallback=False
[role] 五志 -> core | ok=True attempts=1 fallback=False
[role] 耳 -> core | ok=True attempts=1 fallback=False
[role] 膀胱 -> core | ok=True attempts=1 fallback=False
[role] 相生 -> core | ok=True attempts=1 fallback=False
[role] 一般原理 -> core | ok=True attempts=1 fallback=False
[role] 骨 -> core | ok=True attempts=1 fallback=False
[role] 生克制化 -> core | ok=True attempts=1 fallback=False
[role] 恐 -> core | ok=True attempts=1 fallback=False
[role] 五行规律 -> core | ok=True attempts=1 fallback=False
[role] 相克 -> core | ok=True attempts=1 fallback=False
[role] 母 -> non-core | ok=True attempts=1 fallback=False
[role] 制化 -> core | ok=True attempts=1 fallback=False
[role] 所不胜 -> non-core | ok=True attempts=1 fallback=False
[role] 子 -> non-core | ok=True attempts=1 fallback=False
[role] 所胜 -> non-core | ok=True attempts=1 fallback=False
[role] 金生水 -> non-core | ok=True attempts=1 fallback=False
[role] 土生金 -> non-core | ok=True attempts=1 fallback=False
[role] 木生火 -> non-core | ok=True attempts=1 fallback=False
[role] 水生木 -> core | ok=True attempts=1 fallback=False
[role] 土克水 -> non-core | ok=True attempts=1 fallback=False
[role] 火生土 -> non-core | ok=True attempts=1 fallback=False
[role] 木克土 -> core | ok=True attempts=1 fallback=False
[role] 水克火 -> non-core | ok=True attempts=1 fallback=False
[role] 火克金 -> core | ok=True attempts=1 fallback=False
[role] 金克木 -> core | ok=True attempts=1 fallback=False
[role] 母子相及 -> core | ok=True attempts=1 fallback=False
[role] 动态平衡 -> core | ok=True attempts=1 fallback=False
[role] 五行系统 -> core | ok=True attempts=1 fallback=False
[role] 子病及母 -> core | ok=True attempts=1 fallback=False
[role] 母病及子 -> core | ok=True attempts=1 fallback=False
[role] 五行相乘 -> core | ok=True attempts=1 fallback=False
[role] 相克关系 -> core | ok=True attempts=1 fallback=False
[role] 木亢乘土 -> non-core | ok=True attempts=1 fallback=False
[role] 五行相侮 -> core | ok=True attempts=1 fallback=False
[role] 相生关系 -> core | ok=True attempts=1 fallback=False
[role] 木亢侮金 -> non-core | ok=True attempts=1 fallback=False
[role] 土虚木乘 -> non-core | ok=True attempts=1 fallback=False
[role] 金虚木侮 -> non-core | ok=True attempts=1 fallback=False
[role] 五脏系统 -> core | ok=True attempts=1 fallback=False
[role] 气不及则所不胜乘之、所胜侮之 -> non-core | ok=True attempts=1 fallback=False
[role] 水竭木枯 -> non-core | ok=True attempts=1 fallback=False
[role] 肝木 -> core | ok=True attempts=1 fallback=False
[role] 气有余则制所胜而侮所不胜 -> core | ok=True attempts=1 fallback=False
[role] 肺金 -> core | ok=True attempts=1 fallback=False
[role] 脾土 -> core | ok=True attempts=1 fallback=False
[role] 《素问》 -> core | ok=True attempts=1 fallback=False
[role] 心火 -> core | ok=True attempts=1 fallback=False
[role] 五时 -> non-core | ok=True attempts=1 fallback=False
[role] 肾水 -> core | ok=True attempts=1 fallback=False
[role] 五色 -> core | ok=True attempts=1 fallback=False
[role] 五行相克 -> core | ok=True attempts=1 fallback=False
[role] 五窍 -> core | ok=True attempts=1 fallback=False
[role] 五行相生 -> core | ok=True attempts=1 fallback=False
[role] 水不涵木 -> non-core | ok=True attempts=1 fallback=False
[role] 肾阴亏虚 -> core | ok=True attempts=1 fallback=False
[role] 肝阳亢逆 -> non-core | ok=True attempts=1 fallback=False
[role] 五液 -> core | ok=True attempts=1 fallback=False
[role] 相乘传变 -> non-core | ok=True attempts=1 fallback=False
[role] 肝阴失养 -> core | ok=True attempts=1 fallback=False
[role] 五气 -> core | ok=True attempts=1 fallback=False
[role] 肝气郁结 -> core | ok=True attempts=1 fallback=False
[role] 心肝火旺 -> non-core | ok=True attempts=1 fallback=False
[role] 五行母子相及 -> core | ok=True attempts=1 fallback=False
[role] 肝脾不和 -> core | ok=True attempts=1 fallback=False
[role] 木火刑金 -> non-core | ok=True attempts=1 fallback=False
[role] 心火亢盛 -> core | ok=True attempts=1 fallback=False
[role] 脾湿盛 -> non-core | ok=True attempts=1 fallback=False
[role] 肝火上炎 -> core | ok=True attempts=1 fallback=False
[role] 肝胃不和 -> core | ok=True attempts=1 fallback=False
[role] 水湿内停 -> non-core | ok=True attempts=1 fallback=False
[role] 相侮传变 -> core | ok=True attempts=1 fallback=False
[role] 肝火亢盛 -> core | ok=True attempts=1 fallback=False
[role] 肺失清肃 -> core | ok=True attempts=1 fallback=False
[role] 望、闻、问、切 -> core | ok=True attempts=1 fallback=False
[role] 五行归类理论 -> core | ok=True attempts=1 fallback=False
[role] 面青 -> non-core | ok=True attempts=1 fallback=False
[role] 脉弦 -> non-core | ok=True attempts=1 fallback=False
[role] 肝病 -> core | ok=True attempts=1 fallback=False
[role] 脉象 -> core | ok=True attempts=1 fallback=False
[role] 五脏定位诊断 -> core | ok=True attempts=1 fallback=False
[role] 喜酸 -> non-core | ok=True attempts=1 fallback=False
[role] 病脉 -> core | ok=True attempts=1 fallback=False
[role] 脾虚 -> core | ok=True attempts=1 fallback=False
[role] 五行生克理论 -> core | ok=True attempts=1 fallback=False
[role] 浮脉 -> core | ok=True attempts=1 fallback=False
[role] 肝木乘脾土 -> core | ok=True attempts=1 fallback=False
[role] 克色之脉 -> non-core | ok=True attempts=1 fallback=False
[role] 生克乘侮理论 -> core | ok=True attempts=1 fallback=False
[role] 沉脉 -> core | ok=True attempts=1 fallback=False
[role] 病色 -> core | ok=True attempts=1 fallback=False
[role] 控制传变 -> core | ok=True attempts=1 fallback=False
[role] 四诊合参 -> core | ok=True attempts=1 fallback=False
[role] 生色之脉 -> non-core | ok=True attempts=1 fallback=False
[role] 先实其脾气 -> non-core | ok=True attempts=1 fallback=False
[role] 逆证 -> non-core | ok=True attempts=1 fallback=False
[role] 顺证 -> non-core | ok=True attempts=1 fallback=False
[role] 虚者补其母，实者泻其子 -> core | ok=True attempts=1 fallback=False
[role] 滋水涵木 -> core | ok=True attempts=1 fallback=False
[role] 抑强扶弱 -> core | ok=True attempts=1 fallback=False
[role] 培土生金 -> core | ok=True attempts=1 fallback=False
