"pinyin","chinese_name","original_node_names","node_count","notes"
"guanchong","关冲","guanchong","1",""
"guangming","光明","guangming","1",""
"guanmen","关门","guanmen","1",""
"guanyuan","关元","guanyuan | guanyuan.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"guanyuanyu","关元俞","guanyuanyu","1",""
"guilai","归来","guilai","1",""
"guyin","谷音","guyin","1",""
"hegu","合谷","hegu","1",""
"henggu","横骨","henggu","1",""
"henjeichang","恒枢","henjeichang","1",""
"heyang","合阳","heyang","1",""
"houxi","后溪","houxi.001","1",""
"huagai","华盖","huagai","1",""
"huangmen","肓门","huangmen","1",""
"huangshu","肓俞","huangshu","1",""
"huantiao","环跳","huantiao | huantiao.017","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"huaroumen","滑肉门","huaroumen","1",""
"huiyang","会阳","huiyang","1",""
"huizong","会宗","huizong","1",""
"hunmen","魂门","hunmen","1",""
"huozhong","彧中","huozhong","1",""
"jeixi","解溪","jeixi","1",""
"jianjing","肩井","jianjing","1",""
"jianli","建里","jianli","1",""
"jianliao","肩髎","jianliao","1",""
"jianshi","间使","jianshi","1",""
"jianwaiyu","肩外俞","jianwaiyu","1",""
"jianyu","肩髃","jianyu","1",""
"jianzhen","肩贞","jianzhen","1",""
"jianzhongyu","肩中俞","jianzhongyu","1",""
"jiaoxin","角孙","jiaoxin","1",""
"jiazhuangxian","夹竹园","jiazhuangxian","1",""
"jimen","箕门","jimen","1",""
"jinggu","京骨","jinggu","1",""
"jingmen","京门","jingmen","1",""
"jingqu","经渠","jingqu","1",""
"jinmen","金门","jinmen","1",""
"jinsuo","筋缩","jinsuo","1",""
"jiquan","极泉","jiquan","1",""
"jizhong","脊中","jizhong","1",""
"juliao","居髎","juliao","1",""
"juque","巨阙","juque","1",""
"kongzui","孔最","kongzui","1",""
"kufang","库房","kufang","1",""
"kunlun","昆仑","kunlun","1",""
"laogong","劳宫","laogong","1",""
"leique","列缺","leique","1",""
"liangmen","梁门","liangmen","1",""
"liangqu","梁丘","liangqu","1",""
"lidui","厉兑","lidui","1",""
"lindao","灵道","lindao","1",""
"lineiting","里内庭","lineiting","1",""
"lintai","灵台","lintai","1",""
"linxu","灵墟","linxu","1",""
"lougu","漏谷","lougu","1",""
"menshi","门市","menshi","1",""
"mingmen","命门","mingmen","1",""
"naohui","臑会","naohui","1",""
"neikai","内开","neikai","1",""
"neiting","内庭","neiting","1",""
"piyu","脾俞","piyu","1",""
"pohu","魄户","pohu","1",""
"pushen","仆参","pushen","1",""
"qiangu","前谷","qiangu","1",""
"qichong","气冲","qichong","1",""
"qihai","气海","qihai","1",""
"qihaiyu","气海俞","qihaiyu","1",""
"qihu","气户","qihu","1",""
"qimen","期门","qimen","1",""
"qinglengtuan","清冷渊","qinglengtuan","1",""
"qinglin","青灵","qinglin","1",""
"qishe","气舍","qishe","1",""
"qiuwei","鸠尾","qiuwei","1",""
"qixue","气穴","qixue","1",""
"quchi","曲池","quchi","1",""
"quemen","曲门","quemen","1",""
"quepeng","缺盆","quepeng","1",""
"queyinyu","厥阴俞","queyinyu","1",""
"qugu","曲骨","qugu","1",""
"ququan","曲泉","ququan","1",""
"qutan","曲潭","qutan","1",""
"quxu","丘墟","quxu","1",""
"quze","曲泽","quze","1",""
"rangu","然谷","rangu","1",""
"rugen","乳根","rugen","1",""
"ruzhong","乳中","ruzhong","1",""
"sanjian","三间","sanjian","1",""
"sanjiaoyu","三焦俞","sanjiaoyu","1",""
"sanli","手三里","sanli","1",""
"sanyangluo","三阳络","sanyangluo","1",""
"sanyinjiao","三阴交","sanyinjiao","1",""
"sfenmen","神门","sfenmen","1",""
"shangjuxu","上巨虚","shangjuxu.001","1",""
"shanglian","上廉","shanglian","1",""
"shangliao","上髎","shangliao","1",""
"shangqiu","商丘","shangqiu","1",""
"shangqu","商曲","shangqu | shangqu.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"shangwan","上脘","shangwan","1",""
"shangyang","商阳","shangyang","1",""
"shaochong","少冲","shaochong","1",""
"shaofu","少府","shaofu","1",""
"shaohai","少海","shaohai","1",""
"shaoshang","少商","shaoshang","1",""
"shaoze","少泽","shaoze","1",""
"shen","肾","shen","1",""
"shencang","神藏","shencang","1",""
"shendao","神道","shendao","1",""
"shenfeng","神封","shenfeng","1",""
"shengzhixian","生支险","shengzhixian","1",""
"shenmai","申脉","shenmai","1",""
"shenque","神阙","shenque","1",""
"shentang","神堂","shentang","1",""
"shenyu","神俞","shenyu","1",""
"shenzhu","神主","shenzhu","1",""
"shidou","石窦","shidou","1",""
"shierzhichang","十二指肠","shierzhichang","1",""
"shiguan","石关","shiguan","1",""
"shimen","石门","shimen","1",""
"shimianxue","四面穴","shimianxue","1",""
"shufu","俞府","shufu","1",""
"shugu","束骨","shugu","1",""
"shuidao","水道","shuidao","1",""
"shuifen","水分","shuifen","1",""
"shuiquan","水泉","shuiquan","1",""
"shuitu","水突","shuitu","1",""
"sidu","四渎","sidu","1",""
"siman","四满","siman","1",""
"taibai","太白","taibai","1",""
"taichong","太冲","taichong","1",""
"taixi","太溪","taixi","1",""
"taiyi","太乙","taiyi","1",""
"taiyuan","太渊","taiyuan","1",""
"taodao","陶道","taodao","1",""
"tianchi","天池","tianchi","1",""
"tianfu","天府","tianfu","1",""
"tianjing","天井","tianjing","1",""
"tiannao","天臑","tiannao","1",""
"tianquan","天泉","tianquan","1",""
"tianshu","天枢","tianshu","1",""
"tiantu","天突","tiantu","1",""
"tianxi","天溪","tianxi","1",""
"tianzong","天宗","tianzong","1",""
"tiaokou","条口","tiaokou","1",""
"tongli","通里","tongli","1",""
"waiguan","外关","waiguan","1",""
"wailin","外陵","wailin","1",""
"waiqu","外丘","waiqu","1",""
"wangu","腕骨","wangu","1",""
"weicang","胃仓","weicang","1",""
"weidao","维道","weidao","1",""
"weiyang","委阳","weiyang","1",""
"weiyu","胃俞","weiyu","1",""
"weizhong","委中","weizhong","1",""
"wenliu","温溜","wenliu","1",""
"wuli","五里","wuli","1",""
"wushu","五枢","wushu","1",""
"xiabai","侠白","xiabai","1",""
"xiajuxu","下巨虚","xiajuxu","1",""
"xialian","下廉","xialian","1",""
"xialiao","下髎","xialiao","1",""
"xiangu","陷谷","xiangu","1",""
"xiaohai","小海","xiaohai","1",""
"xiaoluo","消泺","xiaoluo","1",""
"xiawan","下脘","xiawan","1",""
"xiaxi","侠溪","xiaxi","1",""
"xiguan","膝关","xiguan","1",""
"xingjian","行间","xingjian","1",""
"xinyu","心俞","xinyu","1",""
"xiongxiang","胸乡","xiongxiang","1",""
"xiyangguan","膝阳关","xiyangguan","1",""
"xuanji","璇玑","xuanji","1",""
"xuanshu","悬枢","xuanshu","1",""
"xuanzhong","悬钟","xuanzhong","1",""
"xuehai","血海","xuehai","1",""
"yangchi","阳池","yangchi","1",""
"yangfu","阳辅","yangfu","1",""
"yanggang","阳纲","yanggang","1",""
"yanggu","阳谷","yanggu","1",""
"yangjiao","阳交","yangjiao | yangjiao.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"yanglao","养老","yanglao","1",""
"yanglingquan","阳陵泉","yanglingquan","1",""
"yangxi","阳溪","yangxi","1",""
"yaoshu","腰俞","yaoshu","1",""
"yaoyangguan","腰阳关","yaoyangguan","1",""
"yemen","液门","yemen","1",""
"yinbao","阴包","yinbao","1",""
"yinchuang","膺窗","yinchuang","1",""
"yindu","阴都","yindu","1",""
"yingbai","隐白","yingbai","1",""
"yingu","阴谷","yingu","1",""
"yinjiao","阴交","yinjiao","1",""
"yinlinxue","阴灵穴","yinlinxue","1",""
"yinmen","阴门","yinmen","1",""
"yinshi","阴市","yinshi","1",""
"yinxi","阴郄","yinxi","1",""
"yishe","意舍","yishe","1",""
"yixi","腋溪","yixi","1",""
"yongquan","涌泉","yongquan","1",""
"youmen","幽门","youmen | youmen.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"yuanye","渊腋","yuanye","1",""
"yuji","鱼际","yuji","1",""
"yunmen","云门","yunmen","1",""
"zhangmen","章门","zhangmen | zhangmen.001","2","GLB中存在同基础拼音的多个节点，请人工确认是否为左右侧或重名穴位"
"zhigou","支沟","zhigou","1",""
"zhishi","志室","zhishi","1",""
"zhiyang","至阳","zhiyang","1",""
"zhiyin","至阴","zhiyin","1",""
"zhizheng","支正","zhizheng","1",""
"zhongchong","中冲","zhongchong","1",""
"zhongdu","中都","zhongdu","1",""
"zhongfen","中封","zhongfen","1",""
"zhongfu","中府","zhongfu","1",""
"zhongji","中极","zhongji","1",""
"zhongliao","中髎","zhongliao","1",""
"zhongshu","中枢","zhongshu","1",""
"zhongting","中庭","zhongting","1",""
"zhongwan","中脘","zhongwan","1",""
"zhongzhu1","中渚","zhongzhu1","1",""
"zhongzhu4","中注","zhongzhu4","1",""
"zhouliao","肘髎","zhouliao","1",""
"zhourong","周荣","zhourong","1",""
"zhubin","筑宾","zhubin","1",""
"zigong","子宫","zigong","1",""
"zulinqi","足临泣","zulinqi","1",""
"zuqeiyin","足厥阴","zuqeiyin","1",""
"zusanli","足三里","zusanli","1",""
"zutonggu","足通谷","zutonggu","1",""
