case_id,case_group,prompt,expected_task_type,pair_order,scenario,gold_relation,relation_dimension,expected_rule_exposure,synthetic_fault,fixture_digest
EVO-D1-V2-015,target_fault,请依据当前提供的教材材料与参考材料，讲清三焦辨证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,framework_negation,True,True,b76f2171c4c2b01e0e9f5409367228bbb9b2a76944e387a90a7cd4f9a47178b4
EVO-D1-V2-016,target_fault,请依据当前提供的教材材料与参考材料，讲清心气虚与心阳虚的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,feature_exclusion,True,True,8b00a7d276c7a5f097b33d6d428f97899cbc9c09d05d203bf88bc1e0bfaea821
EVO-D1-V2-017,target_fault,请依据当前提供的教材材料与参考材料，讲清肝气郁结证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,mechanism_reversal,True,True,092f49af33bc25f234ea5194a98a2ac1b030bf3e5cccf6d970deb32a7805a57a
EVO-D1-V2-018,target_fault,请依据当前提供的教材材料与参考材料，讲清脾气虚证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,feature_reversal,True,True,d9fa79706c676b45ab80bed6b0153a84ba590c250333642571eaab262f844f4e
EVO-D1-V2-019,target_fault,请依据当前提供的教材材料与参考材料，讲清肾阴虚与肾阳虚的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,AB,same_claim_explicit_negation,contradiction,attribute_swap,True,True,799f88591c33a4d3ce706f00d792024b9b2ad66c2155c89bef81107863056ecc
EVO-D1-V2-020,target_fault,请依据当前提供的教材材料与参考材料，讲清痰湿证的核心定义，核对两者口径并整理三个复习要点。,knowledge_explanation,BA,same_claim_explicit_negation,contradiction,mechanism_negation,True,True,f872f4a044e1bff222cb8cb720d7f59baebfeac2c0dc7fd802c8d2c7cde12ae8
EVO-D1-V2-021,target_fault,请比较当前两份材料对血瘀证关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,mechanism_reversal,True,True,0f5bed2c1fedb3854a410c287c32af847c36bcef619e16fd1b6f7db030eaa3dd
EVO-D1-V2-022,target_fault,请比较当前两份材料对风寒感冒关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,feature_reversal,True,True,cffa6a1ab8c87dea581132c9dd21c441c96348a00799382889bd57cca2f4c795
EVO-D1-V2-023,target_fault,请比较当前两份材料对风热感冒关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,feature_reversal,True,True,009a4d6d76a5fe4f1b88203291ed3dba4373bd45e0e44e36eb2d58157cf0f0ea
EVO-D1-V2-024,target_fault,请比较当前两份材料对四君子汤关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,composition_swap,True,True,347e18c07e0ac0d7a77497c606c43a1fcfa5b5a317e306504293b4a8860b2c52
EVO-D1-V2-025,target_fault,请比较当前两份材料对四物汤关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,composition_swap,True,True,4e400306b7c6ca63c9de705915c4f93a1e99331e4c1f6fe96725f3c3260e3eae
EVO-D1-V2-026,target_fault,请比较当前两份材料对逍遥散关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,function_reversal,True,True,e3cc8d4f00ca4227119d351b88e7ff1f02f5b1c56492654ce3d01ca8fb9d5f47
EVO-D1-V2-027,target_fault,请比较当前两份材料对六味地黄丸关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,function_reversal,True,True,6cbe6f55bd53684256f5f74810dc5b513fc5d71809f1a209c8f07e2a4fa7abb1
EVO-D1-V2-028,target_fault,请比较当前两份材料对麻黄汤与桂枝汤关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,indication_swap,True,True,64a11a56b2c738aee12b8252b9da7e5b9582318206ebf579ed5cfa0ef0c1ae1a
EVO-D1-V2-029,target_fault,请比较当前两份材料对原穴关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,definition_negation,True,True,b44e3720935dc10a2427f5cbc0c2b39c1427f33f7ece771ed6c474550f933be4
EVO-D1-V2-030,target_fault,请比较当前两份材料对五输穴关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,component_swap,True,True,802f9dd7649a2b45283f33cc42169aa529a8207384f4df6fca2119cf136cddba
EVO-D1-V2-031,target_fault,请比较当前两份材料对中医学整体观念关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,definition_negation,True,True,96eb2621f379b4cc089db0d818dc0d703c35c2e87921ac4dffead69717e0e917
EVO-D1-V2-032,target_fault,请比较当前两份材料对阴阳对立制约关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,relation_reversal,True,True,485a6c76febff5db55fc1e0da2ac1833a1270e9ae5cf21bba6bbe4181048c945
EVO-D1-V2-033,target_fault,请比较当前两份材料对阴阳消长转化关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,concept_collapse,True,True,2831d53e7476ca12fe745e3a4f95572ee904f568b841dc4cb0c5434aaaad3796
EVO-D1-V2-034,target_fault,请比较当前两份材料对五行相乘相侮关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,direction_reversal,True,True,90248259535c2d4cedbea473c43ad76c9628a04f6e9bb6a523fdfb060d0c0720
EVO-D1-V2-035,target_fault,请比较当前两份材料对精气学说关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,definition_negation,True,True,a4b72d184f8c3c6b101cf42bff427f23a269a61b4c8c3de7e8e9fa87de547c91
EVO-D1-V2-036,target_fault,请比较当前两份材料对神的概念关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,scope_swap,True,True,31c48296c4679c3573bc19a7cf82a3a5f309e1a39b419415fa8877152d146711
EVO-D1-V2-037,target_fault,请比较当前两份材料对心主血脉关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,function_negation,True,True,3bf80f50d0c39238da16758a3a134ca6c0e806b41f20569bd1a21208f95ee33b
EVO-D1-V2-038,target_fault,请比较当前两份材料对肺主气司呼吸关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,function_negation,True,True,6bf230e29847ac318321c791f414a0a9506b7d3a09496853b7843a4aa0b65fa3
EVO-D1-V2-039,target_fault,请比较当前两份材料对脾主升清关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,AB,same_claim_scope_reversal,contradiction,direction_reversal,True,True,0a05cbbbee10c1f14e94055ead420640031a0df8ec85c736824a70d2760cf38c
EVO-D1-V2-040,target_fault,请比较当前两份材料对肝藏血关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,knowledge_explanation,BA,same_claim_scope_reversal,contradiction,function_negation,True,True,2ddc0dfebc8e4860d33fd6c06f610c755bb5ecdc2fc5ac91439fefb32bebbeb9
EVO-D1-V2-041,target_fault,请核对当前两份材料中肾主水的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,function_negation,True,True,f667bb84c597ad5cc72a4b13bacce9eeff4d58532f41294b11321dbe8158a3e0
EVO-D1-V2-042,target_fault,请核对当前两份材料中胆主决断的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,function_negation,True,True,3f90f2c9b0374a74a0d8a57d8db0ff4baa2e66bff2c9ee5186cfeff2d3e38e3a
EVO-D1-V2-043,target_fault,请核对当前两份材料中胃主受纳腐熟的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,definition_reversal,True,True,5ff13c9174784263fffd513ad73019239bd642f9677e22d6619e3e8b7c0c706a
EVO-D1-V2-044,target_fault,请核对当前两份材料中气机升降出入的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,component_negation,True,True,8371bb22712f91ffe93d3dc5e95997dd5e70cad3baae4b0066f0cfc10d90b99e
EVO-D1-V2-045,target_fault,请核对当前两份材料中津液输布的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,process_negation,True,True,d8a9dc402124e794ea5c8632aabdb8fd8a25d52b5254ff01edace3d959cc8c1a
EVO-D1-V2-046,target_fault,请核对当前两份材料中十二经脉流注的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,relation_negation,True,True,6ff0280d912b6b8fcb2e99ba0d2a2f00e15a4385816ad135196c44e8207791c1
EVO-D1-V2-047,target_fault,请核对当前两份材料中奇经八脉的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,function_negation,True,True,c33865a82786c59e719ab65ebeaf5a49e4b4e2f82d3fe56e4998a3f739ec090d
EVO-D1-V2-048,target_fault,请核对当前两份材料中舌诊的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,scope_reversal,True,True,411fb7ee2aa79d0073b54feb42d38c373dbb76af2ba628adc8a3525d0bd4eca0
EVO-D1-V2-049,target_fault,请核对当前两份材料中浮沉迟数脉的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,attribute_swap,True,True,b7ec00456a667a7f11677bb08f7973db407d4be82de98dc6487e95bda09905d1
EVO-D1-V2-050,target_fault,请核对当前两份材料中寒热辨证的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,feature_swap,True,True,c4b9ad6bbecb9d3639c86531c11b55f1f50bd91eea318172cfa52feab0cb4627
EVO-D1-V2-051,target_fault,请核对当前两份材料中虚实辨证的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,mechanism_swap,True,True,99016c91af6bf6650a0695eb483b7d1f94bc6326853d78e70f10bb30350ac7d0
EVO-D1-V2-052,target_fault,请核对当前两份材料中肝病辨证的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,criterion_negation,True,True,784234240db717458ae72ba65547ac5e2af017839086d7d44c1063a75bc0be2b
EVO-D1-V2-053,target_fault,请核对当前两份材料中脾胃病辨证的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,function_swap,True,True,4fda3ff677a08a48c3ed55ea48c4bd3da0b7510458aff7ccd32ba7e1515930d8
EVO-D1-V2-054,target_fault,请核对当前两份材料中卫分与气分的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,depth_reversal,True,True,0e64f43e7b9d45b8cb61d49e1a0c63da525a593be0f056780b282c1254f80db4
EVO-D1-V2-055,target_fault,请核对当前两份材料中中药四气五味的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,attribute_swap,True,True,12d9afdbccdc0f0d63c7e14d19a91d7dde6cb6e542eabd9b30401e0ff05840e4
EVO-D1-V2-056,target_fault,请核对当前两份材料中中药升降浮沉的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,definition_negation,True,True,6e13245b154827d5cc94539f0538e6ef10533f844712cf9cf2337ffd2a4e8ac6
EVO-D1-V2-057,target_fault,请核对当前两份材料中君臣佐使的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,criterion_reversal,True,True,cab15fb97ad2b8c2bcec49e42d01e6fa68081787dd78ea7c87351dba8fdd2a7a
EVO-D1-V2-058,target_fault,请核对当前两份材料中桂枝汤的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,composition_function_swap,True,True,30b3887a6e578df87404836aaa118a17e5edb49feffe9b1064e63527cfa84be4
EVO-D1-V2-059,target_fault,请核对当前两份材料中小柴胡汤的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,AB,same_claim_attribute_swap,contradiction,indication_reversal,True,True,139128582fd0503d9f1b2fdfa03e8f23cb6be6f70e116c5ddfc4ea892650796e
EVO-D1-V2-060,target_fault,请核对当前两份材料中足三里的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,knowledge_explanation,BA,same_claim_attribute_swap,contradiction,location_channel_swap,True,True,f993528cf9a1d3ba3a4354079b78087260da9905735831bc419b9db084d8addb
EVO-D1-V2-061,non_regression_control,我今天只有二十分钟，请根据我的当前学习阶段安排一个可完成的复习任务和自测方法。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,ee38c6b4c89c498a65a902c66d08e31652f04103a978f3c27983efe46038c99b
EVO-D1-V2-062,non_regression_control,我最近连续三天没有完成任务，应该怎样调整今天的学习量，避免计划再次超时？,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,89cf8ace5633f955fa4579deba5479f9ce168ebdf29823fc47a0cda4f85671ca
EVO-D1-V2-063,non_regression_control,请根据我最近的错题表现，告诉我今天更适合复习旧知识还是学习新章节，并说明理由。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,ccd92162c335facaf6d78df90ce41e33084de8423ff40cbfd6e63d6e325a61e2
EVO-D1-V2-064,non_regression_control,我看完一节课但记不住，请给我一个适合零基础学习者的主动回忆练习流程。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,81219d4ecbe870db6647ed4319460ee88bcf31d22b66e5af110187fae9e0f808
EVO-D1-V2-065,non_regression_control,请把我今天要学习的内容拆成几个明确的小步骤，每一步都给出完成标准。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,d767dd7e74f5ace5df6acbe22daf5d758b26264658494e13f9276da2fe99f95e
EVO-D1-V2-066,non_regression_control,我晚上只有四十五分钟，想复习一个已经学过的章节，请安排具体的复习顺序。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,ed7d7a43864da4c29d7d7876a324141f747c15af2609157295888d79476c25a2
EVO-D1-V2-067,non_regression_control,请根据我的学习进度，帮我判断当前最需要补的是概念理解、题目训练还是错题复盘。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,fa164f755ad965ff3e797817e6a166d65e0fc8c56fa6f724ed13f2949de7f71f
EVO-D1-V2-068,non_regression_control,我对一个知识点似懂非懂，请给我一个先自测、再查资料、最后复述的学习方法。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,a7af425c3b0b1aaaf7c3c403c3521a5016971f9c454e700c5bd59395f05bf98c
EVO-D1-V2-069,non_regression_control,请为我设计一次不超过三十分钟的章节回顾，并包含一个简单的验收方式。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,003e011a0fac8300cc8c56438cdee09653219143edea3fbbd39ebdea34669ab2
EVO-D1-V2-070,non_regression_control,我最近错题主要集中在概念混淆，请给我一个不依赖死记硬背的复习安排。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,5560e234cab9b49cb49e33261fda8e8b420823ec85f21a641ed8165a64c0ab69
EVO-D1-V2-071,non_regression_control,请结合我的可用时间和近期完成情况，给出今天最稳妥的一项学习任务。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,25bb01acd546aa4ac1d00a7ee158e9e389e4219da270bea718b4102f6033ea86
EVO-D1-V2-072,non_regression_control,我希望把昨天未完成的任务接着做，请说明应该保留哪些内容、删减哪些内容。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,39506a24d4d7182dc0c37cce19fffc404469e05c093e428d73bfbde47645826d
EVO-D1-V2-073,non_regression_control,请帮我把一段学习材料转成适合主动回忆的几个问题，不要直接给答案。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,256e87f5fa98622ed616fad2024b6e89f6ffc1fd7f77f0ba506915e4c2429a73
EVO-D1-V2-074,non_regression_control,我学习时容易在一个难点上花太久，请给我一个控制单点耗时的执行策略。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,07bf3f795a4ccffd63c3bf615769b4a9a08415b4f7a874ff28a8e15d14ecab22
EVO-D1-V2-075,non_regression_control,请根据当前阶段给我一个短时复习方案，并说明完成后如何判断是否需要再次复习。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,e021bb218866477e5309093f342aba6fb54b133fe5602cb4acd6c20cea908002
EVO-D1-V2-076,non_regression_control,请用教材中的基本定义解释阴阳学说，并给出三个帮助自检理解程度的问题。,knowledge_explanation,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,169bad785bc8f2df2f8d543a36ca0eda294138f980b722c5f09f337f4b708a37
EVO-D1-V2-077,non_regression_control,请概括五脏的主要生理功能，按适合初学者记忆的结构组织内容。,knowledge_explanation,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,bb8aa503ca7c6815758bb9ff9bca2052cfafeeb599808b2b34017488e5060200
EVO-D1-V2-078,non_regression_control,请介绍望闻问切四诊分别收集什么信息，并说明学习时应先掌握什么。,knowledge_explanation,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,c6243b56fa351efc75fba604f179eff0fe245d2738d14ca53ed5c539b6e94fcc
EVO-D1-V2-079,non_regression_control,请解释气的推动、温煦、防御、固摄和气化作用，使用清楚的分点结构。,knowledge_explanation,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,870a46c4ddfb44fddb940718f5713170fd675153f8ab8f57f04afb0b193414cc
EVO-D1-V2-080,non_regression_control,请按照教材顺序介绍十二经脉的命名规律和基本分布特点。,knowledge_explanation,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,718cc381ce0c63cc5fe1531af79a92ff45a3c60e2ca21e184b3f2fc3fb2638be
EVO-D1-V2-081,non_regression_control,请帮助我复习中药性能的基本内容，先讲概念，再给出自测问题。,knowledge_explanation,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,4e3ebac077648001f9843e19ce78e131850c3a7c044e4d50e8e0d34a82721de9
EVO-D1-V2-082,non_regression_control,请说明方剂组成原则的学习方法，并用一个简单例子帮助我理解角色分工。,knowledge_explanation,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,7938970aa4c9a2402dffb8dcd0a9f89d6ac8610c613033954bb4753c1ff63c6b
EVO-D1-V2-083,non_regression_control,请介绍腧穴定位常用的骨度分寸法和同身寸法，提醒我学习时注意哪些边界。,knowledge_explanation,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,b8733ae57a060be02f50544643e7b46043e777c1b592e9907da5dd60f97f8423
EVO-D1-V2-084,non_regression_control,请把表里辨证的核心判断依据整理成适合考前回顾的简明提纲。,knowledge_explanation,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,d54b80af905127bc11c81f7b7f4cf414f0299960c7d8bd47475643b0fa0a0897
EVO-D1-V2-085,non_regression_control,请解释治未病的基本思想，并提出两个可以联系日常学习的开放问题。,knowledge_explanation,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,7a996f4cce31fea3d25f3e6924a2c59d4f9849f86e57d00775df6411fb1ffa7a
EVO-D1-V2-086,non_regression_control,我对刚学完的一章掌握得不牢，请给我一个二十五分钟的回忆、核对和复述流程。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,16e0713ef106ba004a32116d1c7f7a80fc79f599494892553e16063731e7739c
EVO-D1-V2-087,non_regression_control,今天的学习任务比预计多，请帮我确定保留项、可延后项和最低完成标准。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,dfdaca61f63c3d5b6adb21c0d41c4a6f5ab7ea4bc88d580364631e3fd4ce30fd
EVO-D1-V2-088,non_regression_control,我连续做题后注意力下降，请安排一次短休息以及后续二十分钟的学习节奏。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,2a79ea25d37a6b69bb8267b899aff7f3f554f9d95f3d62cadf7c37e9f207892c
EVO-D1-V2-089,non_regression_control,请给我一个每周检查学习计划是否需要调整的简单清单，不要替我重新制定长期计划。,general_learning_support,AB,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,6d05dae4cd58e2910e9a10cbe269a3e08751c61c06a8a1214eb57b417c250480
EVO-D1-V2-090,non_regression_control,我想复盘这周的学习情况，请告诉我应该记录哪些事实，避免只凭主观感觉判断。,general_learning_support,BA,out_of_scope_normal_task,not_applicable,out_of_scope_normal_task,False,False,950771d4a72385cb4a7e9059901c54a06cbb4eb8aa9a49e243517d6aca8f78e3
EVO-D1-V2-091,targeting_negative_control,教材给出定义，课程补充例子且结论一致，请合并成学习笔记。,knowledge_explanation,AB,same_claim_compatible_boundary,compatible,definition_and_example,True,False,a3993984f3ff1e4318c6938d393febac38a5a7a7629ae7557421b3943e8a0cd2
EVO-D1-V2-092,targeting_negative_control,两份资料分别讲概念和应用，内容可以互相补充，请安排学习顺序。,knowledge_explanation,BA,same_claim_compatible_boundary,compatible,concept_and_application,True,False,205852c2947c8ce37069f10f397517f6f13042a9ca235476a4cb18f6082ecd32
EVO-D1-V2-093,targeting_negative_control,教材表述简洁，老师讲得更展开但核心意思相同，请提炼共同要点。,knowledge_explanation,AB,same_claim_compatible_boundary,compatible,concise_and_expanded,True,False,a3b4224057f3a8184a662435ba1738414f23a31fde93544a54748974186ab60b
