case_id,case_group,prompt,expected_task_type,pair_order,target_rule,target_agent,owner_step_id,scenario,dataset_partition
EVO-D1-AB50-035,non_regression_control,请把我今天要学习的内容拆成几个明确的小步骤，每一步都给出完成标准。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-036,non_regression_control,我晚上只有四十五分钟，想复习一个已经学过的章节，请安排具体的复习顺序。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-037,non_regression_control,请根据我的学习进度，帮我判断当前最需要补的是概念理解、题目训练还是错题复盘。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-038,non_regression_control,我对一个知识点似懂非懂，请给我一个先自测、再查资料、最后复述的学习方法。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-039,non_regression_control,请为我设计一次不超过三十分钟的章节回顾，并包含一个简单的验收方式。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-040,non_regression_control,我最近错题主要集中在概念混淆，请给我一个不依赖死记硬背的复习安排。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-041,non_regression_control,请结合我的可用时间和近期完成情况，给出今天最稳妥的一项学习任务。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-042,non_regression_control,我希望把昨天未完成的任务接着做，请说明应该保留哪些内容、删减哪些内容。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-043,non_regression_control,请帮我把一段学习材料转成适合主动回忆的几个问题，不要直接给答案。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-044,non_regression_control,我学习时容易在一个难点上花太久，请给我一个控制单点耗时的执行策略。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-045,non_regression_control,请根据当前阶段给我一个短时复习方案，并说明完成后如何判断是否需要再次复习。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,legacy_ab50
EVO-D1-AB50-046,targeting_negative_control,你好，简单介绍一下你能怎样帮助我学习。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource,legacy_ab50
EVO-D1-AB50-047,targeting_negative_control,谢谢你，刚才的讲解很清楚。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource,legacy_ab50
EVO-D1-AB50-048,targeting_negative_control,我暂时没有具体问题，先和我聊聊如何保持学习习惯吧。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource,legacy_ab50
EVO-D1-AB50-049,targeting_negative_control,请告诉我今天是星期几，并给我一句鼓励。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource,legacy_ab50
EVO-D1-AB50-050,targeting_negative_control,我想了解一下这个学习系统有哪些主要功能。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource,legacy_ab50
EVO-D1-AB100-051,target_fault,请结合正式教材讲清中医学整体观念的基本内涵，并比较不同教学资料在人体整体与人与环境关系上的讲解重点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-052,target_fault,我想辨清阴阳对立和相互制约之间的关系，请依据教材组织一份由概念到例子的学习讲解。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-053,target_fault,请系统说明阴阳消长与阴阳转化的区别和联系，并整理适合逐步理解这两个概念的学习材料。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-054,target_fault,请讲解五行相乘、相侮的形成条件与区别，并说明教材和课程材料各自适合关注哪些要点。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-055,target_fault,我正在学习精气学说，请按核心概念、基本关系和中医学应用三个层次梳理正式学习内容。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-056,target_fault,请依据中医基础教材解释广义之神与狭义之神，并帮助我辨析学习资料中容易混在一起的表述。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-057,target_fault,请讲清心主血脉的含义、实现条件和常见辨析点，并给出教材与课程内容的阅读顺序。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-058,target_fault,我想系统理解肺主气、司呼吸，请整理核心教材内容并说明不同讲解材料的侧重点。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-059,target_fault,请围绕脾主升清组织一份完整学习讲解，区分它与脾主运化之间的联系及不同资料的解释重点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-060,target_fault,请依据正式教材说明肝藏血的基本含义和主要作用，并整理适合入门和辨析阶段使用的资料。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_resolvable,extension_20260826
EVO-D1-AB100-061,target_fault,请系统讲解肾主水的生理含义以及与其他脏腑的关系，指出教材和课程中需要重点核对的表述。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-062,target_fault,我对胆主决断的概念不太清楚，请依据教材说明其内涵，并对照不同教学材料的常见解释。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-063,target_fault,请讲解胃主受纳、腐熟水谷的含义以及二者关系，并按学习阶段整理教材和辅助材料。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-064,target_fault,请从定义、脏腑联系和常见辨析三个方面讲清气机升降出入，并安排合理的材料学习顺序。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-065,target_fault,请依据中医基础教材梳理津液生成、输布和排泄过程，并说明不同课程讲解的关注重点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-066,target_fault,我想建立十二经脉流注次序的整体认识，请组织教材内容、理解方法和必要的辨析提醒。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-067,target_fault,请系统介绍奇经八脉的共同特点和主要作用，并比较教材正文与辅助课程适合承担的学习任务。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-068,target_fault,请根据中医诊断教材整理舌诊的观察内容和基本分析顺序，帮助我分清不同资料的表述层次。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-069,target_fault,请讲清浮、沉、迟、数四种基础脉象的判断要点，并设计一条从教材定义到辨析练习的学习路径。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-070,target_fault,请依据教材比较寒证与热证的主要表现和鉴别依据，并指出课程补充内容应如何使用。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_residual_after_repair,extension_20260826
EVO-D1-AB100-071,target_fault,我想系统学习虚实辨证，请从概念、形成机制和鉴别要点组织讲解，并标明不同材料的使用顺序。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-072,target_fault,请为肝病常见证候建立一个教材化学习框架，说明概念学习、证候比较和练习材料各自解决什么问题。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-073,target_fault,请整理脾胃病辨证的基础学习内容，重点说明相近证候如何比较以及不同资料的侧重点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-074,target_fault,请依据温病学教材比较卫分证和气分证，并组织一份能够逐步核对关键判断依据的学习讲解。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-075,target_fault,请系统说明中药四气五味的含义和作用特点，并比较教材定义与课程示例应如何配合学习。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-076,target_fault,我想辨清中药升降浮沉的基本规律，请依据教材整理核心内容并说明辅助资料的适用范围。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-077,target_fault,请讲清方剂配伍中君臣佐使的含义和判断方法，并帮助我核对不同讲解材料中的角色划分依据。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-078,target_fault,请依据方剂学教材整理桂枝汤的组成、功用和证治要点，并说明课程讲解可用于补充哪些理解。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-079,target_fault,请系统学习小柴胡汤的组成、功用和主治逻辑，按教材原文、方义讲解和辨析练习安排顺序。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-080,target_fault,请依据针灸教材讲解足三里的定位、归经和常见学习要点，并整理适合核对定位与理解作用的材料。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,expert_conflict_pair_expanded_rerun,extension_20260826
EVO-D1-AB100-081,non_regression_control,请用教材中的基本定义解释阴阳学说，并给出三个帮助自检理解程度的问题。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-082,non_regression_control,请概括五脏的主要生理功能，按适合初学者记忆的结构组织内容。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-083,non_regression_control,请介绍望闻问切四诊分别收集什么信息，并说明学习时应先掌握什么。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-084,non_regression_control,请解释气的推动、温煦、防御、固摄和气化作用，使用清楚的分点结构。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-085,non_regression_control,请按照教材顺序介绍十二经脉的命名规律和基本分布特点。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-086,non_regression_control,请帮助我复习中药性能的基本内容，先讲概念，再给出自测问题。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-087,non_regression_control,请说明方剂组成原则的学习方法，并用一个简单例子帮助我理解角色分工。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-088,non_regression_control,请介绍腧穴定位常用的骨度分寸法和同身寸法，提醒我学习时注意哪些边界。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-089,non_regression_control,请把表里辨证的核心判断依据整理成适合考前回顾的简明提纲。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-090,non_regression_control,请解释治未病的基本思想，并提出两个可以联系日常学习的开放问题。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-091,non_regression_control,我对刚学完的一章掌握得不牢，请给我一个二十五分钟的回忆、核对和复述流程。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-092,non_regression_control,今天的学习任务比预计多，请帮我确定保留项、可延后项和最低完成标准。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-093,non_regression_control,我连续做题后注意力下降，请安排一次短休息以及后续二十分钟的学习节奏。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-094,non_regression_control,请给我一个每周检查学习计划是否需要调整的简单清单，不要替我重新制定长期计划。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-095,non_regression_control,我想复盘这周的学习情况，请告诉我应该记录哪些事实，避免只凭主观感觉判断。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict,extension_20260826
EVO-D1-AB100-096,targeting_negative_control,教材给出定义，课程补充了例子，两者结论一致。请帮我合并成一份学习笔记。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,compatible_sources_near_boundary,extension_20260826
EVO-D1-AB100-097,targeting_negative_control,两份资料对同一知识点分别讲概念和应用，内容可以互相补充，请整理它们的学习顺序。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,compatible_sources_near_boundary,extension_20260826
EVO-D1-AB100-098,targeting_negative_control,教材表述比较简洁，老师讲得更展开，但核心意思相同。请帮我提炼共同要点。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,compatible_sources_near_boundary,extension_20260826
EVO-D1-AB100-099,targeting_negative_control,我有一份章节提纲和一份课堂笔记，请在不改变原意的前提下合并并去除重复内容。,knowledge_explanation,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,compatible_sources_near_boundary,extension_20260826
EVO-D1-AB100-100,targeting_negative_control,两段材料使用的例子不同，但对概念的判断相同，请帮我整理成便于复习的对照表。,knowledge_explanation,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,compatible_sources_near_boundary,extension_20260826
