case_id,case_group,prompt,claim_text,evidence_a_text,evidence_b_text,gold_relation,relation_dimension,gold_rationale,expected_rule_exposure,synthetic_fault,annotation_method,reviewer_decision,reviewer_name,review_notes
EVO-D1-V2-013,target_fault,请依据当前提供的教材材料与参考材料，讲清六经辨证的核心定义，核对两者口径并整理三个复习要点。,六经辨证以太阳、阳明、少阳、太阴、少阴、厥阴为基本辨证层次。,《隔离评测教材摘录A》关于六经辨证：六经辨证以太阳、阳明、少阳、太阴、少阴、厥阴为基本辨证层次。,《隔离评测参考材料B》关于六经辨证：六经辨证只有卫分、气分、营分、血分四个层次。,contradiction,framework_swap,两条证据针对同一原子声明，在framework_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-014,target_fault,请依据当前提供的教材材料与参考材料，讲清卫气营血辨证的核心定义，核对两者口径并整理三个复习要点。,卫气营血辨证通常按卫分、气分、营分、血分分析温热病的浅深层次。,《隔离评测教材摘录A》关于卫气营血辨证：卫气营血辨证通常按卫分、气分、营分、血分分析温热病的浅深层次。,《隔离评测参考材料B》关于卫气营血辨证：卫气营血辨证以太阳、阳明、少阳、太阴、少阴、厥阴作为分层。,contradiction,framework_swap,两条证据针对同一原子声明，在framework_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-015,target_fault,请依据当前提供的教材材料与参考材料，讲清三焦辨证的核心定义，核对两者口径并整理三个复习要点。,三焦辨证按上焦、中焦、下焦分析湿热病邪所在层次及传变。,《隔离评测教材摘录A》关于三焦辨证：三焦辨证按上焦、中焦、下焦分析湿热病邪所在层次及传变。,《隔离评测参考材料B》关于三焦辨证：三焦辨证只区分表证和里证，不使用上焦、中焦、下焦层次。,contradiction,framework_negation,两条证据针对同一原子声明，在framework_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-016,target_fault,请依据当前提供的教材材料与参考材料，讲清心气虚与心阳虚的核心定义，核对两者口径并整理三个复习要点。,心阳虚一般在心气虚表现基础上兼见畏寒肢冷等虚寒征象。,《隔离评测教材摘录A》关于心气虚与心阳虚：心阳虚一般在心气虚表现基础上兼见畏寒肢冷等虚寒征象。,《隔离评测参考材料B》关于心气虚与心阳虚：心阳虚与心气虚完全相同，不会出现任何虚寒征象。,contradiction,feature_exclusion,两条证据针对同一原子声明，在feature_exclusion维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-017,target_fault,请依据当前提供的教材材料与参考材料，讲清肝气郁结证的核心定义，核对两者口径并整理三个复习要点。,肝气郁结的核心病机是肝失疏泄、气机郁滞。,《隔离评测教材摘录A》关于肝气郁结证：肝气郁结的核心病机是肝失疏泄、气机郁滞。,《隔离评测参考材料B》关于肝气郁结证：肝气郁结的核心病机是肝血充盛、气机过度通畅。,contradiction,mechanism_reversal,两条证据针对同一原子声明，在mechanism_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-018,target_fault,请依据当前提供的教材材料与参考材料，讲清脾气虚证的核心定义，核对两者口径并整理三个复习要点。,脾气虚常以食少、腹胀、便溏、倦怠乏力等运化不足表现为辨证依据。,《隔离评测教材摘录A》关于脾气虚证：脾气虚常以食少、腹胀、便溏、倦怠乏力等运化不足表现为辨证依据。,《隔离评测参考材料B》关于脾气虚证：脾气虚不会影响饮食和大便，核心表现只有高热和口渴。,contradiction,feature_reversal,两条证据针对同一原子声明，在feature_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-019,target_fault,请依据当前提供的教材材料与参考材料，讲清肾阴虚与肾阳虚的核心定义，核对两者口径并整理三个复习要点。,肾阴虚偏虚热，肾阳虚偏虚寒，二者寒热倾向不同。,《隔离评测教材摘录A》关于肾阴虚与肾阳虚：肾阴虚偏虚热，肾阳虚偏虚寒，二者寒热倾向不同。,《隔离评测参考材料B》关于肾阴虚与肾阳虚：肾阴虚偏虚寒而肾阳虚偏虚热，二者寒热属性应当完全对调。,contradiction,attribute_swap,两条证据针对同一原子声明，在attribute_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-020,target_fault,请依据当前提供的教材材料与参考材料，讲清痰湿证的核心定义，核对两者口径并整理三个复习要点。,痰湿证的病机与津液输布失常、痰湿停聚有关。,《隔离评测教材摘录A》关于痰湿证：痰湿证的病机与津液输布失常、痰湿停聚有关。,《隔离评测参考材料B》关于痰湿证：痰湿证与津液代谢无关，病机只是血液耗损。,contradiction,mechanism_negation,两条证据针对同一原子声明，在mechanism_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-021,target_fault,请比较当前两份材料对血瘀证关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,血瘀证以血行不畅或瘀血内阻为核心病机。,《隔离评测教材摘录A》关于血瘀证：血瘀证以血行不畅或瘀血内阻为核心病机。,《隔离评测参考材料B》关于血瘀证：血瘀证表示血液运行异常通畅，不存在瘀阻。,contradiction,mechanism_reversal,两条证据针对同一原子声明，在mechanism_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-022,target_fault,请比较当前两份材料对风寒感冒关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,风寒感冒通常以恶寒较重、发热较轻、无汗或少汗等为常见辨析点。,《隔离评测教材摘录A》关于风寒感冒：风寒感冒通常以恶寒较重、发热较轻、无汗或少汗等为常见辨析点。,《隔离评测参考材料B》关于风寒感冒：风寒感冒的典型辨析点是高热重、恶寒轻并以明显汗出为必备条件。,contradiction,feature_reversal,两条证据针对同一原子声明，在feature_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-023,target_fault,请比较当前两份材料对风热感冒关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,风热感冒通常以发热较著、恶风、咽喉不适等偏热表现为辨析点。,《隔离评测教材摘录A》关于风热感冒：风热感冒通常以发热较著、恶风、咽喉不适等偏热表现为辨析点。,《隔离评测参考材料B》关于风热感冒：风热感冒不出现任何偏热表现，其必备特征是恶寒重而完全不发热。,contradiction,feature_reversal,两条证据针对同一原子声明，在feature_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-024,target_fault,请比较当前两份材料对四君子汤关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,四君子汤由人参、白术、茯苓、炙甘草组成，基本功用是益气健脾。,《隔离评测教材摘录A》关于四君子汤：四君子汤由人参、白术、茯苓、炙甘草组成，基本功用是益气健脾。,《隔离评测参考材料B》关于四君子汤：四君子汤由熟地黄、当归、白芍、川芎组成，基本功用是补血调血。,contradiction,composition_swap,两条证据针对同一原子声明，在composition_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-025,target_fault,请比较当前两份材料对四物汤关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,四物汤由熟地黄、当归、白芍、川芎组成，是补血调血的基础方。,《隔离评测教材摘录A》关于四物汤：四物汤由熟地黄、当归、白芍、川芎组成，是补血调血的基础方。,《隔离评测参考材料B》关于四物汤：四物汤由人参、白术、茯苓、炙甘草组成，是益气健脾的基础方。,contradiction,composition_swap,两条证据针对同一原子声明，在composition_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-026,target_fault,请比较当前两份材料对逍遥散关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,逍遥散的方义围绕疏肝解郁、养血健脾展开。,《隔离评测教材摘录A》关于逍遥散：逍遥散的方义围绕疏肝解郁、养血健脾展开。,《隔离评测参考材料B》关于逍遥散：逍遥散的方义只在峻下热结，与疏肝、养血和健脾均无关。,contradiction,function_reversal,两条证据针对同一原子声明，在function_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-027,target_fault,请比较当前两份材料对六味地黄丸关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,六味地黄丸的基本功用是滋补肾阴。,《隔离评测教材摘录A》关于六味地黄丸：六味地黄丸的基本功用是滋补肾阴。,《隔离评测参考材料B》关于六味地黄丸：六味地黄丸的基本功用是峻补肾阳，完全不用于肾阴不足。,contradiction,function_reversal,两条证据针对同一原子声明，在function_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-028,target_fault,请比较当前两份材料对麻黄汤与桂枝汤关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,麻黄汤偏治外感风寒表实无汗，桂枝汤偏治外感风寒表虚有汗。,《隔离评测教材摘录A》关于麻黄汤与桂枝汤：麻黄汤偏治外感风寒表实无汗，桂枝汤偏治外感风寒表虚有汗。,《隔离评测参考材料B》关于麻黄汤与桂枝汤：麻黄汤与桂枝汤的有汗无汗适用特点完全相反：麻黄汤只治有汗，桂枝汤只治无汗。,contradiction,indication_swap,两条证据针对同一原子声明，在indication_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-029,target_fault,请比较当前两份材料对原穴关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,原穴是脏腑原气输注、经过和留止于十二经脉四肢部位的腧穴。,《隔离评测教材摘录A》关于原穴：原穴是脏腑原气输注、经过和留止于十二经脉四肢部位的腧穴。,《隔离评测参考材料B》关于原穴：原穴与脏腑原气和十二经脉均无关系，只指头面部的任意穴位。,contradiction,definition_negation,两条证据针对同一原子声明，在definition_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-030,target_fault,请比较当前两份材料对五输穴关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,五输穴按井、荥、输、经、合的次序分布于十二经四肢肘膝以下。,《隔离评测教材摘录A》关于五输穴：五输穴按井、荥、输、经、合的次序分布于十二经四肢肘膝以下。,《隔离评测参考材料B》关于五输穴：五输穴只有原、络、郄、募四类，并不包括井、荥、输、经、合。,contradiction,component_swap,两条证据针对同一原子声明，在component_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-031,target_fault,请比较当前两份材料对中医学整体观念关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,中医学整体观念强调人体自身整体性以及人与自然、社会环境的联系。,《隔离评测教材摘录A》关于中医学整体观念：中医学整体观念强调人体自身整体性以及人与自然、社会环境的联系。,《隔离评测参考材料B》关于中医学整体观念：中医学整体观念认为人体各部分彼此孤立，人与自然环境也不存在联系。,contradiction,definition_negation,两条证据针对同一原子声明，在definition_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-032,target_fault,请比较当前两份材料对阴阳对立制约关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,阴阳对立制约指属性相反的双方相互斗争、相互制约。,《隔离评测教材摘录A》关于阴阳对立制约：阴阳对立制约指属性相反的双方相互斗争、相互制约。,《隔离评测参考材料B》关于阴阳对立制约：阴阳对立制约表示双方只会相互促进，不存在对立或制约。,contradiction,relation_reversal,两条证据针对同一原子声明，在relation_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-033,target_fault,请比较当前两份材料对阴阳消长转化关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,阴阳消长是量的增减变化，阴阳转化是在一定条件下向对立面的质变。,《隔离评测教材摘录A》关于阴阳消长转化：阴阳消长是量的增减变化，阴阳转化是在一定条件下向对立面的质变。,《隔离评测参考材料B》关于阴阳消长转化：阴阳消长与阴阳转化完全相同，都只指位置移动，不涉及量变或质变。,contradiction,concept_collapse,两条证据针对同一原子声明，在concept_collapse维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-034,target_fault,请比较当前两份材料对五行相乘相侮关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,五行相乘是相克太过，相侮是反向克制，二者方向不同。,《隔离评测教材摘录A》关于五行相乘相侮：五行相乘是相克太过，相侮是反向克制，二者方向不同。,《隔离评测参考材料B》关于五行相乘相侮：五行相乘和相侮方向完全相同，均表示正常相生。,contradiction,direction_reversal,两条证据针对同一原子声明，在direction_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-035,target_fault,请比较当前两份材料对精气学说关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,精气学说认为精气是构成天地万物的本原，并处于运动变化之中。,《隔离评测教材摘录A》关于精气学说：精气学说认为精气是构成天地万物的本原，并处于运动变化之中。,《隔离评测参考材料B》关于精气学说：精气学说认为精气不能构成任何事物，并且永远静止不变。,contradiction,definition_negation,两条证据针对同一原子声明，在definition_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-036,target_fault,请比较当前两份材料对神的概念关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,广义之神概括人体生命活动，狭义之神主要指意识、思维、情志等精神活动。,《隔离评测教材摘录A》关于神的概念：广义之神概括人体生命活动，狭义之神主要指意识、思维、情志等精神活动。,《隔离评测参考材料B》关于神的概念：广义之神只指意识思维，狭义之神反而概括全部生命活动。,contradiction,scope_swap,两条证据针对同一原子声明，在scope_swap维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-037,target_fault,请比较当前两份材料对心主血脉关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,心主血脉是指心气推动和调控血液在脉中运行。,《隔离评测教材摘录A》关于心主血脉：心主血脉是指心气推动和调控血液在脉中运行。,《隔离评测参考材料B》关于心主血脉：心主血脉表示心与血液运行无关，血液只在经外静止。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-038,target_fault,请比较当前两份材料对肺主气司呼吸关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,肺主气、司呼吸包括主持呼吸运动并参与一身之气的生成和调节。,《隔离评测教材摘录A》关于肺主气司呼吸：肺主气、司呼吸包括主持呼吸运动并参与一身之气的生成和调节。,《隔离评测参考材料B》关于肺主气司呼吸：肺只参与饮食消化，不参与呼吸或一身之气的调节。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-039,target_fault,请比较当前两份材料对脾主升清关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,脾主升清指脾气将水谷精微等向上输布，并维持内脏位置相对稳定。,《隔离评测教材摘录A》关于脾主升清：脾主升清指脾气将水谷精微等向上输布，并维持内脏位置相对稳定。,《隔离评测参考材料B》关于脾主升清：脾主升清表示脾气只把浊物向下排出，与精微上输和内脏位置无关。,contradiction,direction_reversal,两条证据针对同一原子声明，在direction_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-040,target_fault,请比较当前两份材料对肝藏血关键条件或适用范围的表述，给出一份不臆造其他来源的学习讲解和自测提示。,肝藏血具有贮藏血液和调节血量的作用。,《隔离评测教材摘录A》关于肝藏血：肝藏血具有贮藏血液和调节血量的作用。,《隔离评测参考材料B》关于肝藏血：肝藏血既不贮藏血液，也不能调节机体各部分的血量。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-041,target_fault,请核对当前两份材料中肾主水的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,肾主水通过肾气气化参与全身水液代谢的调节。,《隔离评测教材摘录A》关于肾主水：肾主水通过肾气气化参与全身水液代谢的调节。,《隔离评测参考材料B》关于肾主水：肾主水与水液代谢无关，只表示肾储存食物。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-042,target_fault,请核对当前两份材料中胆主决断的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,胆主决断与人的判断、作出决定和应对事物的能力相关。,《隔离评测教材摘录A》关于胆主决断：胆主决断与人的判断、作出决定和应对事物的能力相关。,《隔离评测参考材料B》关于胆主决断：胆主决断与判断或决定无关，只表示胆直接生成血液。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-043,target_fault,请核对当前两份材料中胃主受纳腐熟的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,胃主受纳是接受容纳饮食，腐熟水谷是对饮食进行初步消化。,《隔离评测教材摘录A》关于胃主受纳腐熟：胃主受纳是接受容纳饮食，腐熟水谷是对饮食进行初步消化。,《隔离评测参考材料B》关于胃主受纳腐熟：胃主受纳指排出饮食，腐熟水谷与消化过程完全无关。,contradiction,definition_reversal,两条证据针对同一原子声明，在definition_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-044,target_fault,请核对当前两份材料中气机升降出入的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,升、降、出、入是气运动的基本形式。,《隔离评测教材摘录A》关于气机升降出入：升、降、出、入是气运动的基本形式。,《隔离评测参考材料B》关于气机升降出入：气的运动只有静止一种状态，不存在升、降、出、入。,contradiction,component_negation,两条证据针对同一原子声明，在component_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-045,target_fault,请核对当前两份材料中津液输布的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,津液代谢包括生成、输布和排泄等相互衔接的环节。,《隔离评测教材摘录A》关于津液输布：津液代谢包括生成、输布和排泄等相互衔接的环节。,《隔离评测参考材料B》关于津液输布：津液只生成而不输布也不排泄，各环节彼此无关。,contradiction,process_negation,两条证据针对同一原子声明，在process_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-046,target_fault,请核对当前两份材料中十二经脉流注的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,十二经脉气血流注首尾相贯，构成循环衔接的次序。,《隔离评测教材摘录A》关于十二经脉流注：十二经脉气血流注首尾相贯，构成循环衔接的次序。,《隔离评测参考材料B》关于十二经脉流注：十二经脉彼此没有衔接关系，也不存在循环流注次序。,contradiction,relation_negation,两条证据针对同一原子声明，在relation_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-047,target_fault,请核对当前两份材料中奇经八脉的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,奇经八脉具有统率、联络和调节十二经脉气血等作用。,《隔离评测教材摘录A》关于奇经八脉：奇经八脉具有统率、联络和调节十二经脉气血等作用。,《隔离评测参考材料B》关于奇经八脉：奇经八脉与十二经脉完全隔绝，不具有联络或调节作用。,contradiction,function_negation,两条证据针对同一原子声明，在function_negation维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
EVO-D1-V2-048,target_fault,请核对当前两份材料中舌诊的组成、属性或方向性表述，形成可信的学习笔记；无法确认处请明确说明。,舌诊通常观察舌质、舌苔及其色泽、形态、润燥等变化。,《隔离评测教材摘录A》关于舌诊：舌诊通常观察舌质、舌苔及其色泽、形态、润燥等变化。,《隔离评测参考材料B》关于舌诊：舌诊只观察牙齿数量，不观察舌质、舌苔、色泽或润燥。,contradiction,scope_reversal,两条证据针对同一原子声明，在scope_reversal维度给出互相不能同时成立的结论。,True,True,deterministic_same_claim_counterfactual_v1,pending,,
