case_id,case_group,prompt,expected_task_type,pair_order,target_rule,target_agent,owner_step_id,scenario
EVO-D1-AB50-039,non_regression_control,请为我设计一次不超过三十分钟的章节回顾，并包含一个简单的验收方式。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-040,non_regression_control,我最近错题主要集中在概念混淆，请给我一个不依赖死记硬背的复习安排。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-041,non_regression_control,请结合我的可用时间和近期完成情况，给出今天最稳妥的一项学习任务。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-042,non_regression_control,我希望把昨天未完成的任务接着做，请说明应该保留哪些内容、删减哪些内容。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-043,non_regression_control,请帮我把一段学习材料转成适合主动回忆的几个问题，不要直接给答案。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-044,non_regression_control,我学习时容易在一个难点上花太久，请给我一个控制单点耗时的执行策略。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-045,non_regression_control,请根据当前阶段给我一个短时复习方案，并说明完成后如何判断是否需要再次复习。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,normal_dialogue_no_conflict
EVO-D1-AB50-046,targeting_negative_control,你好，简单介绍一下你能怎样帮助我学习。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource
EVO-D1-AB50-047,targeting_negative_control,谢谢你，刚才的讲解很清楚。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource
EVO-D1-AB50-048,targeting_negative_control,我暂时没有具体问题，先和我聊聊如何保持学习习惯吧。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource
EVO-D1-AB50-049,targeting_negative_control,请告诉我今天是星期几，并给我一句鼓励。,general_learning_support,AB,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource
EVO-D1-AB50-050,targeting_negative_control,我想了解一下这个学习系统有哪些主要功能。,general_learning_support,BA,semantic_conflict_pair_closure_v1,expert_agent,expert,no_conflict_normal_resource
