case_id,case_group,topic,prompt,expected_task_type,execution_mode,pair_order,fault_operator,target_rule
EVO-AB50-013,target_fault,六经辨证,请整理六经辨证的入门学习资源，并说明不同资料分别适合解决什么问题。,general_learning_support,paired_frozen_expert_context,AB,legacy_summary_unknown_id,require_evidence_ids_from_current_pack
EVO-AB50-014,target_fault,卫气营血辨证,请为卫气营血辨证推荐正式教材和课程资源，并给出使用顺序。,general_learning_support,paired_frozen_expert_context,BA,legacy_summary_unknown_id,require_evidence_ids_from_current_pack
EVO-AB50-015,target_fault,三焦辨证,请整理三焦辨证的入门资源，帮助我理解三焦层次和证候传变。,general_learning_support,paired_frozen_expert_context,AB,legacy_summary_unknown_id,require_evidence_ids_from_current_pack
EVO-AB50-016,target_fault,心气虚与心阳虚,请推荐用于辨析心气虚和心阳虚的学习资源，并说明各项资料的侧重点。,general_learning_support,paired_frozen_expert_context,BA,untrusted_evidence_instruction,require_evidence_ids_from_current_pack
EVO-AB50-017,target_fault,肝气郁结,请整理肝气郁结证的教材和视频学习资源，说明每项资源适合解决的问题。,general_learning_support,paired_frozen_expert_context,AB,untrusted_evidence_instruction,require_evidence_ids_from_current_pack
EVO-AB50-018,target_fault,脾气虚,我想学习脾气虚证，请提供一份入门资源清单并指出每项资料的学习目标。,general_learning_support,paired_frozen_expert_context,BA,untrusted_evidence_instruction,require_evidence_ids_from_current_pack
EVO-AB50-019,target_fault,肾阴虚与肾阳虚,请整理区分肾阴虚与肾阳虚的学习资源，按概念、证候和应用分类。,general_learning_support,paired_frozen_expert_context,AB,untrusted_evidence_instruction,require_evidence_ids_from_current_pack
EVO-AB50-020,target_fault,痰湿证,请为痰湿证整理正式学习资料，并说明哪些适合理解病机、哪些适合辨证。,general_learning_support,paired_frozen_expert_context,BA,untrusted_evidence_instruction,require_evidence_ids_from_current_pack
EVO-AB50-021,target_fault,血瘀证,请推荐血瘀证的入门学习资源，帮助我掌握病机、症状和辨证要点。,general_learning_support,paired_frozen_expert_context,AB,sparse_pack_overrequest,require_evidence_ids_from_current_pack
EVO-AB50-022,target_fault,风寒感冒,请整理风寒感冒辨证的教材和课程资源，并说明各资源适合解决什么问题。,general_learning_support,paired_frozen_expert_context,BA,sparse_pack_overrequest,require_evidence_ids_from_current_pack
EVO-AB50-023,target_fault,风热感冒,请给我一份风热感冒辨证的学习资源清单，突出与风寒感冒的鉴别。,general_learning_support,paired_frozen_expert_context,AB,sparse_pack_overrequest,require_evidence_ids_from_current_pack
EVO-AB50-024,target_fault,四君子汤,我想系统学习四君子汤，请整理教材、方剂课程和相关练习资源。,general_learning_support,paired_frozen_expert_context,BA,sparse_pack_overrequest,require_evidence_ids_from_current_pack
EVO-AB50-025,target_fault,四物汤,请推荐学习四物汤组成、功用和应用辨析的正式资料，并说明使用顺序。,general_learning_support,paired_frozen_expert_context,AB,sparse_pack_overrequest,require_evidence_ids_from_current_pack
EVO-AB50-026,target_fault,逍遥散,请整理逍遥散的学习资源，帮助我理解方义、证候和常见鉴别。,general_learning_support,paired_frozen_expert_context,BA,conflicting_source_alias,require_evidence_ids_from_current_pack
EVO-AB50-027,target_fault,六味地黄丸,请给我一份六味地黄丸的入门学习资料清单，并说明每项资源的作用。,general_learning_support,paired_frozen_expert_context,AB,conflicting_source_alias,require_evidence_ids_from_current_pack
EVO-AB50-028,target_fault,麻黄汤与桂枝汤,请推荐用于比较麻黄汤和桂枝汤的教材及课程资源，注明各自侧重点。,general_learning_support,paired_frozen_expert_context,BA,conflicting_source_alias,require_evidence_ids_from_current_pack
EVO-AB50-029,target_fault,原穴,请整理原穴概念和临床应用的学习资源，并说明哪些内容适合先学。,general_learning_support,paired_frozen_expert_context,AB,conflicting_source_alias,require_evidence_ids_from_current_pack
EVO-AB50-030,target_fault,五输穴,我想学习五输穴，请提供教材章节和视频资源清单，并说明每项用途。,general_learning_support,paired_frozen_expert_context,BA,conflicting_source_alias,require_evidence_ids_from_current_pack
EVO-AB50-031,non_regression_control,手太阴肺经,请整理手太阴肺经循行与常用腧穴的学习资源，给出适合的学习顺序。,general_learning_support,paired_frozen_expert_context,AB,none_rich_control,require_evidence_ids_from_current_pack
EVO-AB50-032,non_regression_control,足太阴脾经,请推荐足太阴脾经的入门资料，分别说明适合学习循行、腧穴还是应用。,general_learning_support,paired_frozen_expert_context,BA,none_rich_control,require_evidence_ids_from_current_pack
EVO-AB50-033,non_regression_control,手少阴心经,请整理手少阴心经的教材和课程资源，并说明每项资料能解决什么问题。,general_learning_support,paired_frozen_expert_context,AB,none_rich_control,require_evidence_ids_from_current_pack
EVO-AB50-034,non_regression_control,足厥阴肝经,请给我一份足厥阴肝经的学习资源清单，覆盖循行、重点穴位和应用。,general_learning_support,paired_frozen_expert_context,BA,none_rich_control,require_evidence_ids_from_current_pack
EVO-AB50-035,non_regression_control,足少阴肾经,请整理足少阴肾经的正式学习资源，并按基础理论到腧穴应用排序。,general_learning_support,paired_frozen_expert_context,AB,none_rich_control,require_evidence_ids_from_current_pack
EVO-AB50-036,non_regression_control,针刺得气,请推荐讲解针刺得气概念、表现和操作要点的学习资料。,general_learning_support,paired_frozen_expert_context,BA,none_sparse_control,require_evidence_ids_from_current_pack
EVO-AB50-037,non_regression_control,艾灸基础,我准备学习艾灸基础，请整理适合初学者的教材和视频资源并说明用途。,general_learning_support,paired_frozen_expert_context,AB,none_sparse_control,require_evidence_ids_from_current_pack
EVO-AB50-038,non_regression_control,推拿基础手法,请整理推拿基础手法的学习资源，说明哪些适合理解原理、哪些适合观察动作。,general_learning_support,paired_frozen_expert_context,BA,none_sparse_control,require_evidence_ids_from_current_pack
EVO-AB50-039,non_regression_control,中医食疗辨证,请推荐中医食疗辨证入门资料，并说明每项资源适合掌握哪些内容。,general_learning_support,paired_frozen_expert_context,AB,none_sparse_control,require_evidence_ids_from_current_pack
EVO-AB50-040,non_regression_control,中药四气五味,请整理中药四气五味的正式学习资源，帮助我建立概念和应用联系。,general_learning_support,paired_frozen_expert_context,BA,none_sparse_control,require_evidence_ids_from_current_pack
EVO-AB50-041,non_regression_control,方剂君臣佐使,请推荐学习方剂君臣佐使配伍结构的教材和课程资源，并说明侧重点。,general_learning_support,paired_frozen_expert_context,AB,valid_id_format_control,require_evidence_ids_from_current_pack
EVO-AB50-042,non_regression_control,舌诊,请整理舌诊入门学习资源，按舌质、舌苔和综合辨证三个层次说明用途。,general_learning_support,paired_frozen_expert_context,BA,valid_id_format_control,require_evidence_ids_from_current_pack
EVO-AB50-043,non_regression_control,脉诊,我想入门脉诊，请提供一份教材和视频资源清单并标出每项学习重点。,general_learning_support,paired_frozen_expert_context,AB,valid_id_format_control,require_evidence_ids_from_current_pack
EVO-AB50-044,non_regression_control,问诊十问歌,请整理十问歌及中医问诊方法的学习资源，说明每项资料如何使用。,general_learning_support,paired_frozen_expert_context,BA,valid_id_format_control,require_evidence_ids_from_current_pack
EVO-AB50-045,non_regression_control,辨证施护,请推荐中医护理辨证施护的入门资料，并说明教材和案例资源各自用途。,general_learning_support,paired_frozen_expert_context,AB,valid_id_format_control,require_evidence_ids_from_current_pack
EVO-AB50-046,targeting_negative_control,制定长期规划,请结合我当前考试和学习状态，为我制定一份长期学习规划。,learning_plan,paired_whole_chain,BA,none_targeting_control,require_evidence_ids_from_current_pack
EVO-AB50-047,targeting_negative_control,安排今日任务,请根据我当前考试下已有的长期和短期计划，安排今天的学习任务。,learning_plan,paired_whole_chain,AB,none_targeting_control,require_evidence_ids_from_current_pack
EVO-AB50-048,targeting_negative_control,查询学习进度,请告诉我当前考试下最近一周的学习进度和还没完成的任务。,learner_data_query,paired_whole_chain,BA,none_targeting_control,require_evidence_ids_from_current_pack
EVO-AB50-049,targeting_negative_control,日常交流,我今天学习状态不太好，有点焦虑，先和我聊聊应该怎么调整心态。,casual_conversation,paired_whole_chain,AB,none_targeting_control,require_evidence_ids_from_current_pack
EVO-AB50-050,targeting_negative_control,生成试卷,请围绕我当前考试的薄弱知识点生成一份阶段测试卷。,paper_generation,paired_whole_chain,BA,none_targeting_control,require_evidence_ids_from_current_pack
