Aggr started. input=D:\tree-KG\TreeKG-main\src\output\中医文化学\02_hidden_kg\conv_entities.json, output=D:\tree-KG\TreeKG-main\src\output\中医文化学\02_hidden_kg\aggr_entities.json, log=D:\tree-KG\TreeKG-main\src\output\中医文化学\02_hidden_kg\logs\aggr.log
===== [Stage 1] 角色判定（并发=10）=====
[role] 广义文化 -> core | ok=True attempts=1 fallback=False
[role] 甲骨卜辞 -> core | ok=True attempts=1 fallback=False
[role] 巫术思维 -> core | ok=True attempts=1 fallback=False
[role] 《尚书·金滕篇》 -> core | ok=True attempts=1 fallback=False
[role] 巫法巫技 -> core | ok=True attempts=1 fallback=False
[role] 商周时期 -> core | ok=True attempts=1 fallback=False
[role] 巫术心理 -> core | ok=True attempts=1 fallback=False
[role] 巫术 -> core | ok=True attempts=1 fallback=False
[role] 祈禳术 -> core | ok=True attempts=1 fallback=False
[role] 祝禁术 -> non-core | ok=True attempts=1 fallback=False
[role] 顺势巫术 -> core | ok=True attempts=1 fallback=False
[role] 交感巫术 -> core | ok=True attempts=1 fallback=False
[role] 消极巫术 -> core | ok=True attempts=1 fallback=False
[role] 接触巫术 -> core | ok=True attempts=1 fallback=False
[role] 积极巫术 -> core | ok=True attempts=1 fallback=False
[role] 相似律 -> core | ok=True attempts=1 fallback=False
[role] 接触律 -> core | ok=True attempts=1 fallback=False
[role] 同气相求 -> core | ok=True attempts=1 fallback=False
[role] 交感 -> core | ok=True attempts=1 fallback=False
[role] 禳除巫术 -> non-core | ok=True attempts=1 fallback=False
[role] 崇拜 -> non-core | ok=True attempts=1 fallback=False
[role] 黑巫术 -> core | ok=True attempts=1 fallback=False
[role] 白巫术 -> core | ok=True attempts=1 fallback=False
[role] 解除 -> non-core | ok=True attempts=1 fallback=False
[role] 禁忌 -> non-core | ok=True attempts=1 fallback=False
[role] 占卜 -> core | ok=True attempts=1 fallback=False
[role] 星占 -> core | ok=True attempts=1 fallback=False
[role] 祭祀 -> core | ok=True attempts=1 fallback=False
[role] 巫祝 -> non-core | ok=True attempts=1 fallback=False
[role] 梦占 -> core | ok=True attempts=1 fallback=False
[role] 驱傩逐疫仪式 -> core | ok=True attempts=1 fallback=False
[role] 禳除 -> non-core | ok=True attempts=1 fallback=False
[role] 出血恐惧 -> non-core | ok=True attempts=1 fallback=False
[role] 巫蛊 -> core | ok=True attempts=1 fallback=False
[role] 大傩 -> core | ok=True attempts=1 fallback=False
[role] 禁忌心理 -> core | ok=True attempts=1 fallback=False
[role] 诅咒 -> core | ok=True attempts=1 fallback=False
[role] 天子傩 -> core | ok=True attempts=1 fallback=False
[role] 国傩 -> core | ok=True attempts=1 fallback=False
[role] 方相氏 -> non-core | ok=True attempts=1 fallback=False
[role] 祓除熏浴 -> non-core | ok=True attempts=1 fallback=False
[role] 女巫 -> core | ok=True attempts=1 fallback=False
[role] 神鬼致病说 -> core | ok=True attempts=1 fallback=False
[role] 厌胜 -> non-core | ok=True attempts=1 fallback=False
[role] 巫文化 -> core | ok=True attempts=1 fallback=False
[role] 风邪致病说 -> core | ok=True attempts=1 fallback=False
[role] 岁时祓除制度 -> core | ok=True attempts=1 fallback=False
[role] 风神 -> non-core | ok=True attempts=1 fallback=False
[role] 阴阳 -> core | ok=True attempts=1 fallback=False
[role] 风为百病之长 -> core | ok=True attempts=1 fallback=False
[role] 阳爻 -> core | ok=True attempts=1 fallback=False
[role] 卜筮 -> core | ok=True attempts=1 fallback=False
[role] 五季 -> non-core | ok=True attempts=1 fallback=False
[role] 血气 -> non-core | ok=True attempts=1 fallback=False
[role] 阴爻 -> core | ok=True attempts=1 fallback=False
[role] 气理论 -> core | ok=True attempts=1 fallback=False
[role] 五脏 -> core | ok=True attempts=1 fallback=False
[role] 五味 -> core | ok=True attempts=1 fallback=False
[role] 烟气 -> non-core | ok=True attempts=1 fallback=False
[role] 取象比类 -> core | ok=True attempts=1 fallback=False
[role] 人有五脏化五气 -> core | ok=True attempts=1 fallback=False
[role] 导引调息 -> non-core | ok=True attempts=1 fallback=False
[role] 五行 -> core | ok=True attempts=1 fallback=False
[role] 天有五行御五位 -> core | ok=True attempts=1 fallback=False
[role] 药类法象 -> core | ok=True attempts=1 fallback=False
[role] 小疒臣 -> non-core | ok=True attempts=1 fallback=False
[role] 巫医 -> core | ok=True attempts=1 fallback=False
[role] 六巫 -> non-core | ok=True attempts=1 fallback=False
[role] 不死之药 -> non-core | ok=True attempts=1 fallback=False
[role] 巫咸 -> non-core | ok=True attempts=1 fallback=False
[role] 扁鹊 -> non-core | ok=True attempts=1 fallback=False
[role] 毉 -> non-core | ok=True attempts=1 fallback=False
[role] 《山海经》 -> core | ok=True attempts=1 fallback=False
[role] 汉画像石 -> non-core | ok=True attempts=1 fallback=False
[role] 鸟医 -> non-core | ok=True attempts=1 fallback=False
[role] 针砭 -> non-core | ok=True attempts=1 fallback=False
[role] 换心术 -> non-core | ok=True attempts=1 fallback=False
[role] 东夷鸟图腾文化 -> core | ok=True attempts=1 fallback=False
[role] 北方巫医 -> non-core | ok=True attempts=1 fallback=False
[role] 《列子·汤问》 -> core | ok=True attempts=1 fallback=False
[role] 南方巫医 -> non-core | ok=True attempts=1 fallback=False
[role] 范行准 -> non-core | ok=True attempts=1 fallback=False
[role] 长江流域 -> non-core | ok=True attempts=1 fallback=False
[role] 《周礼》 -> core | ok=True attempts=1 fallback=False
[role] 天官冢宰 -> non-core | ok=True attempts=1 fallback=False
[role] 疾医 -> core | ok=True attempts=1 fallback=False
[role] 春官宗伯 -> core | ok=True attempts=1 fallback=False
[role] 疡医 -> non-core | ok=True attempts=1 fallback=False
[role] 食医 -> core | ok=True attempts=1 fallback=False
[role] 兽医 -> core | ok=True attempts=1 fallback=False
[role] 砭石 -> core | ok=True attempts=1 fallback=False
[role] 斋戒 -> non-core | ok=True attempts=1 fallback=False
[role] 占梦 -> non-core | ok=True attempts=1 fallback=False
[role] 望诊 -> core | ok=True attempts=1 fallback=False
[role] 气功 -> core | ok=True attempts=1 fallback=False
[role] 殷 -> non-core | ok=True attempts=1 fallback=False
[role] 祝法 -> core | ok=True attempts=1 fallback=False
[role] 艾灸 -> core | ok=True attempts=1 fallback=False
[role] 五十二病方 -> core | ok=True attempts=1 fallback=False
[role] 苗父 -> non-core | ok=True attempts=1 fallback=False
[role] 相法 -> non-core | ok=True attempts=1 fallback=False
[role] 素问 -> core | ok=True attempts=1 fallback=False
[role] 禹步 -> non-core | ok=True attempts=1 fallback=False
[role] 黄帝内经 -> core | ok=True attempts=1 fallback=False
[role] 阴阳二十五人 -> core | ok=True attempts=1 fallback=False
[role] 药物学知识 -> core | ok=True attempts=1 fallback=False
[role] 山海经 -> core | ok=True attempts=1 fallback=False
[role] 九尾狐 -> non-core | ok=True attempts=1 fallback=False
[role] 青耕鸟 -> non-core | ok=True attempts=1 fallback=False
[role] 动植物药 -> core | ok=True attempts=1 fallback=False
[role] 周礼 -> non-core | ok=True attempts=1 fallback=False
[role] 逸周书 -> core | ok=True attempts=1 fallback=False
[role] 香草 -> non-core | ok=True attempts=1 fallback=False
[role] 矿物药 -> core | ok=True attempts=1 fallback=False
[role] 巫药 -> core | ok=True attempts=1 fallback=False
[role] 治蛊药 -> non-core | ok=True attempts=1 fallback=False
[role] 蝙蝠 -> non-core | ok=True attempts=1 fallback=False
[role] 杀蛊毒 -> non-core | ok=True attempts=1 fallback=False
[role] 神农本草经 -> core | ok=True attempts=1 fallback=False
[role] 桃符 -> non-core | ok=True attempts=1 fallback=False
[role] 汤液 -> non-core | ok=True attempts=1 fallback=False
[role] 醫 -> non-core | ok=True attempts=1 fallback=False
[role] 酒 -> non-core | ok=True attempts=1 fallback=False
[role] 庄子 -> core | ok=True attempts=1 fallback=False
[role] 辟毒疫温鬼 -> non-core | ok=True attempts=1 fallback=False
[role] 楚辞 -> core | ok=True attempts=1 fallback=False
[role] 老子 -> core | ok=True attempts=1 fallback=False
[role] 艾草 -> non-core | ok=True attempts=1 fallback=False
[role] 温灸 -> core | ok=True attempts=1 fallback=False
[role] 养生方法 -> core | ok=True attempts=1 fallback=False
[role] 地理环境 -> core | ok=True attempts=1 fallback=False
[role] 方士 -> non-core | ok=True attempts=1 fallback=False
[role] 欧亚大陆 -> non-core | ok=True attempts=1 fallback=False
[role] 方术文化 -> core | ok=True attempts=1 fallback=False
[role] 生产力 -> core | ok=True attempts=1 fallback=False
[role] 经济关系 -> core | ok=True attempts=1 fallback=False
[role] 太平洋 -> non-core | ok=True attempts=1 fallback=False
[role] 道教 -> core | ok=True attempts=1 fallback=False
[role] 海洋湿润气流 -> non-core | ok=True attempts=1 fallback=False
[role] 长江 -> non-core | ok=True attempts=1 fallback=False
[role] 三级阶梯 -> non-core | ok=True attempts=1 fallback=False
[role] 内陆区域 -> core | ok=True attempts=1 fallback=False
[role] 社会关系 -> core | ok=True attempts=1 fallback=False
[role] 黄河 -> non-core | ok=True attempts=1 fallback=False
[role] 亚热带 -> core | ok=True attempts=1 fallback=False
[role] 农业灌溉 -> core | ok=True attempts=1 fallback=False
[role] 东南季风气候 -> non-core | ok=True attempts=1 fallback=False
[role] 半坡遗址 -> non-core | ok=True attempts=1 fallback=False
[role] 母系氏族 -> core | ok=True attempts=1 fallback=False
[role] 农耕经济 -> core | ok=True attempts=1 fallback=False
[role] 耒 -> non-core | ok=True attempts=1 fallback=False
[role] 新石器时代 -> core | ok=True attempts=1 fallback=False
[role] 中温带 -> core | ok=True attempts=1 fallback=False
[role] 农耕文明 -> core | ok=True attempts=1 fallback=False
[role] 暖温带 -> core | ok=True attempts=1 fallback=False
[role] 粟 -> non-core | ok=True attempts=1 fallback=False
[role] 河姆渡遗址 -> non-core | ok=True attempts=1 fallback=False
[role] 耜 -> non-core | ok=True attempts=1 fallback=False
[role] 耒耜 -> non-core | ok=True attempts=1 fallback=False
[role] 精耕细作 -> core | ok=True attempts=1 fallback=False
[role] 传统农业 -> core | ok=True attempts=1 fallback=False
[role] 稻谷 -> non-core | ok=True attempts=1 fallback=False
[role] 应时 -> core | ok=True attempts=1 fallback=False
[role] 农耕文化 -> core | ok=True attempts=1 fallback=False
[role] 神农氏 -> non-core | ok=True attempts=1 fallback=False
[role] 天、地、人三才观 -> core | ok=True attempts=1 fallback=False
[role] 守则 -> core | ok=True attempts=1 fallback=False
[role] 取宜 -> core | ok=True attempts=1 fallback=False
[role] 神形兼备 -> non-core | ok=True attempts=1 fallback=False
[role] 和谐 -> core | ok=True attempts=1 fallback=False
[role] 天、地、人 -> core | ok=True attempts=1 fallback=False
[role] 天 -> core | ok=True attempts=1 fallback=False
[role] 气 -> core | ok=True attempts=1 fallback=False
[role] 经络 -> core | ok=True attempts=1 fallback=False
[role] 巫 -> core | ok=True attempts=1 fallback=False
[role] 脉象 -> core | ok=True attempts=1 fallback=False
[role] 因时制宜 -> core | ok=True attempts=1 fallback=False
[role] 失精 -> non-core | ok=True attempts=1 fallback=False
[role] 脱营 -> non-core | ok=True attempts=1 fallback=False
[role] 整体思维 -> core | ok=True attempts=1 fallback=False
[role] 因地制宜 -> core | ok=True attempts=1 fallback=False
[role] 因人制宜 -> core | ok=True attempts=1 fallback=False
[role] 四时 -> core | ok=True attempts=1 fallback=False
[role] 毒药 -> non-core | ok=True attempts=1 fallback=False
[role] 辨证论治 -> core | ok=True attempts=1 fallback=False
[role] 形气有余不足 -> non-core | ok=True attempts=1 fallback=False
[role] 导引按蹻 -> core | ok=True attempts=1 fallback=False
[role] 九针 -> non-core | ok=True attempts=1 fallback=False
[role] 风寒暑湿燥火 -> core | ok=True attempts=1 fallback=False
[role] 三因制宜 -> core | ok=True attempts=1 fallback=False
[role] 灸焫 -> non-core | ok=True attempts=1 fallback=False
[role] 阴阳五行学说 -> core | ok=True attempts=1 fallback=False
[role] 阴阳五态 -> core | ok=True attempts=1 fallback=False
[role] 土 -> core | ok=True attempts=1 fallback=False
[role] 木 -> core | ok=True attempts=1 fallback=False
[role] 火 -> core | ok=True attempts=1 fallback=False
[role] 金 -> core | ok=True attempts=1 fallback=False
[role] 水 -> core | ok=True attempts=1 fallback=False
[role] 春生 -> core | ok=True attempts=1 fallback=False
[role] 冬藏 -> core | ok=True attempts=1 fallback=False
[role] 衰其大半而止 -> non-core | ok=True attempts=1 fallback=False
[role] 秋收 -> core | ok=True attempts=1 fallback=False
[role] 《尚书·洪范》 -> core | ok=True attempts=1 fallback=False
[role] 夏长 -> core | ok=True attempts=1 fallback=False
[role] 曲直 -> core | ok=True attempts=1 fallback=False
[role] 润下 -> core | ok=True attempts=1 fallback=False
[role] 炎上 -> core | ok=True attempts=1 fallback=False
[role] 阳化气 -> core | ok=True attempts=1 fallback=False
[role] 阴成形 -> core | ok=True attempts=1 fallback=False
[role] 稼穑 -> core | ok=True attempts=1 fallback=False
[role] 从革 -> core | ok=True attempts=1 fallback=False
[role] 阴胜则阳病 -> core | ok=True attempts=1 fallback=False
[role] 生克制化 -> core | ok=True attempts=1 fallback=False
[role] 神农尝百草 -> non-core | ok=True attempts=1 fallback=False
[role] 五药 -> core | ok=True attempts=1 fallback=False
[role] 药食同源 -> core | ok=True attempts=1 fallback=False
[role] 紫苏 -> non-core | ok=True attempts=1 fallback=False
[role] 草 -> core | ok=True attempts=1 fallback=False
[role] 谷 -> core | ok=True attempts=1 fallback=False
[role] 诗经 -> core | ok=True attempts=1 fallback=False
[role] 虫 -> core | ok=True attempts=1 fallback=False
[role] 枸杞 -> non-core | ok=True attempts=1 fallback=False
[role] 石 -> core | ok=True attempts=1 fallback=False
[role] 米谷 -> non-core | ok=True attempts=1 fallback=False
[role] 草木 -> non-core | ok=True attempts=1 fallback=False
[role] 苦入心 -> non-core | ok=True attempts=1 fallback=False
[role] 酸入肝 -> core | ok=True attempts=1 fallback=False
[role] 玉石 -> core | ok=True attempts=1 fallback=False
[role] 果菜 -> core | ok=True attempts=1 fallback=False
[role] 陶器 -> core | ok=True attempts=1 fallback=False
[role] 五味理论 -> core | ok=True attempts=1 fallback=False
[role] 虫兽 -> core | ok=True attempts=1 fallback=False
[role] 谷物加工工具 -> core | ok=True attempts=1 fallback=False
[role] 炮 -> core | ok=True attempts=1 fallback=False
[role] 列宁 -> non-core | ok=True attempts=1 fallback=False
[role] 煮 -> core | ok=True attempts=1 fallback=False
[role] 炙 -> core | ok=True attempts=1 fallback=False
[role] 蒸 -> core | ok=True attempts=1 fallback=False
[role] 欧亚大陆东部 -> non-core | ok=True attempts=1 fallback=False
[role] 石锄 -> non-core | ok=True attempts=1 fallback=False
[role] 中药炮制学 -> core | ok=True attempts=1 fallback=False
[role] 汤液剂型 -> core | ok=True attempts=1 fallback=False
[role] 太平洋西部 -> non-core | ok=True attempts=1 fallback=False
[role] 菜籽 -> non-core | ok=True attempts=1 fallback=False
[role] 锄 -> non-core | ok=True attempts=1 fallback=False
[role] 礼制思想 -> core | ok=True attempts=1 fallback=False
[role] 哲学之气 -> core | ok=True attempts=1 fallback=False
[role] 形体 -> core | ok=True attempts=1 fallback=False
[role] 六腑 -> core | ok=True attempts=1 fallback=False
[role] 春日浮脉 -> non-core | ok=True attempts=1 fallback=False
[role] 三才观 -> core | ok=True attempts=1 fallback=False
[role] 夏时痒疥 -> non-core | ok=True attempts=1 fallback=False
[role] 石铲 -> non-core | ok=True attempts=1 fallback=False
[role] 五官 -> core | ok=True attempts=1 fallback=False
[role] 自然之气 -> core | ok=True attempts=1 fallback=False
[role] 年长求腑 -> non-core | ok=True attempts=1 fallback=False
[role] 年壮求脏 -> non-core | ok=True attempts=1 fallback=False
[role] 年少求经 -> non-core | ok=True attempts=1 fallback=False
[role] 盛则泻之，虚则补之 -> core | ok=True attempts=1 fallback=False
[role] 发表不远热，攻里不远寒 -> core | ok=True attempts=1 fallback=False
[role] 日月寒暑 -> non-core | ok=True attempts=1 fallback=False
[role] 五态 -> core | ok=True attempts=1 fallback=False
[role] 四时气候 -> core | ok=True attempts=1 fallback=False
[role] 春夏生长 -> non-core | ok=True attempts=1 fallback=False
[role] 生长收藏 -> core | ok=True attempts=1 fallback=False
[role] 秋冬收藏 -> core | ok=True attempts=1 fallback=False
[role] 水的润下 -> core | ok=True attempts=1 fallback=False
[role] 火的炎上 -> core | ok=True attempts=1 fallback=False
[role] 《管子》 -> core | ok=True attempts=1 fallback=False
[role] 木的曲直 -> core | ok=True attempts=1 fallback=False
[role] 阳胜则阴病 -> core | ok=True attempts=1 fallback=False
[role] 土的稼穑 -> core | ok=True attempts=1 fallback=False
[role] 《尚书》 -> core | ok=True attempts=1 fallback=False
[role] 金的从革 -> core | ok=True attempts=1 fallback=False
[role] 五谷 -> core | ok=True attempts=1 fallback=False
[role] 饮食五味 -> core | ok=True attempts=1 fallback=False
[role] 《诗经》 -> core | ok=True attempts=1 fallback=False
[role] 五味禁忌 -> non-core | ok=True attempts=1 fallback=False
[role] 五药分类 -> core | ok=True attempts=1 fallback=False
[role] 《汤液本草》 -> core | ok=True attempts=1 fallback=False
[role] 井 -> non-core | ok=True attempts=1 fallback=False
[role] 《神农本草经》 -> core | ok=True attempts=1 fallback=False
[role] 药物五味理论 -> core | ok=True attempts=1 fallback=False
[role] 药物炮制方法 -> core | ok=True attempts=1 fallback=False
[role] 八不食 -> non-core | ok=True attempts=1 fallback=False
[role] 饮食调护 -> core | ok=True attempts=1 fallback=False
[role] 合理饮食结构 -> core | ok=True attempts=1 fallback=False
[role] 《灵枢》 -> core | ok=True attempts=1 fallback=False
[role] 地 -> core | ok=True attempts=1 fallback=False
[role] 中药炮制 -> core | ok=True attempts=1 fallback=False
[role] 四时宜忌 -> core | ok=True attempts=1 fallback=False
[role] 人 -> core | ok=True attempts=1 fallback=False
[role] 节制 -> non-core | ok=True attempts=1 fallback=False
[role] 井栏 -> non-core | ok=True attempts=1 fallback=False
[role] 清淤 -> non-core | ok=True attempts=1 fallback=False
[role] 《素问》 -> core | ok=True attempts=1 fallback=False
[role] 肥肉厚酒 -> non-core | ok=True attempts=1 fallback=False
[role] 过嗜厚味 -> non-core | ok=True attempts=1 fallback=False
[role] 烂肠之食 -> non-core | ok=True attempts=1 fallback=False
[role] 饮食不节 -> core | ok=True attempts=1 fallback=False
